CIMELIDE 50 MG/ML FR. 15 ML,"CIMED Indústria de MedicamentosLtda",163434,4,,2011-1380465,21/10/2011,"Rua Refinaria GabrielPassos, 437,Petrolândia –Contagem/MG"
CIMELIDEW 100 MG COMP 1 BL X 12,"CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",1103265,200,159049,970929,30/08/2011,Carté-MG
CINETOL 2 MG COM - 20 BL X 10,"CRISTÁLIA PRODUTOS QUÍMICOSFARMACÊUTICOS LTDA.",10129301,4 cxs,0443223,447/2011,03/05/2011,Registro - SP
CIPRAMIL 20MG 14 COMP,LUNDBECK BRASIL LTDA,2230768,6,13480,4458,04/08/2011,Parnamirim/RN
CIPRAMIL 20MG 28 COMP,LUNDBECK BRASIL LTDA,2182618,2,8287,137/2011,30/06/2011,São Paulo/ SP
CIPRAMIL 20MG 28 COMP,LUNDBECK BRASIL LTDA,2266736,12,4000,4017/2011,19/07/2011,São Paulo/ SP
CIPRAMIL 20MG 28 COMP,LUNDBECK BRASIL LTDA,2201938,12,13480,4458,04/08/2011,Parnamirim/RN
CITALOPRAM 20MG 28CPR (C1),Eurofarma Laboratórios Ltda,211890,100,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
CITALOR 10 MG X 30 COMP,LABORATÓRIOS PFIZER LTDA.,00437 036D,,186705,2011/09910.0-000145,27/08/2011,Japaratuba - SE
CITALOR 20MG X 30 COMP,LABORATÓRIOS PFIZER LTDA.,00437 0441,,186705,2011/09910.0-000145,27/08/2011,Japaratuba - SE
CLARILERG 10MG 12TAB BR,SANDOZ DO BRASIL IND. FARM.,BU8460,20,"51652, 51879,51878, 51877,51993, 51997,51974, 51972,52059",02898/1918/2011,29/11/2011,MACAÉ - RJ
"CLAVICIN 0,5G/0,1G CX 50FA S/DIL","AGILA MARKETING E DISTRIB. DEPROD. HOSP. LTDA",Z511005,24,5348,13614603,04/11/2011,CARIACICA - ES
"CLAVICIN 1G/0,2G CX 50FA S/DIL","AGILA MARKETING E DISTRIB. DEPROD. HOSP. LTDA",Z711011,18,5348,13614603,04/11/2011,CARIACICA - ES
CLEARTOP 20 MGG CREME BG 30G,"CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",1101696,6,158922,970929,30/08/2011,Carté-MG
"CLEARTOP 20 MGML XAMP FR 100ML","CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",1101959,30,159049,970929,30/08/2011,Carté-MG
"CLEARTOP 20 MGML XAMP FR 100ML","CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",1101959,3,158922,970929,30/08/2011,Carté-MG
"CLENIL A 400 MCG/ ML - CX C/ 10FLACONETES DE 2 ML",Chiesi Farmacêutica Ltda,111413,40,78372,02898/ 1918/ 2011,29/11/2011,ROD. BR 101 - MACAÉ - RJ
"CLENIL A 400MCG/ML - CX C/ 10FLACONETES DE 2ML",CHIESI FARMACÊUTICA LTDA,116796,60,78372,02898/1918/2011,29/11/2011,ROD. BR 101 - MACAÉ - RJ
Medicamento,Empresa,No lote,"Quantidade Roubada/Furtada/Extraviada",No Nota Fiscal,No Boletim de Ocorrência,"Data do rouboou extravio",Local do roubo ou extravio
"CLENIL COMPOSITUM A 400 + 800MCG/ ML - CX C/ 10 FLACONETESDE 2 ML",Chiesi Farmacêutica Ltda,117231 A,6,78372,02898/ 1918/ 2011,29/11/2011,ROD. BR 101 - MACAÉ - RJ
"CLENIL COMPOSITUM A 400 +800MCG/ML - CX C/ 10 FLACONETESDE 2 ML",CHIESI FARMACÊUTICA LTDA,115144A,12,78372,02898/1918/2011,29/11/2011,ROD. BR 101 - MACAÉ - RJ
"CLENIL COMPOSITUM HFA 50 + 100MCG/DOSE - TUBO COM 200 DOSES",Chiesi Farmacêutica Ltda,159179,12,78372,02898/ 1918/ 2011,29/11/2011,ROD. BR 101 - MACAÉ - RJ
"CLENIL COMPOSITUM HFA 50 + 100MCG/DOSE - TUBO COM 200 DOSES",CHIESI FARMACÊUTICA LTDA,111271A,18,78372,02898/1918/2011,29/11/2011,ROD. BR 101 - MACAÉ - RJ
"CLENIL NASAL AQUOSO 50 MCG/DOSE - FRASCO COM 130 DOSES",Chiesi Farmacêutica Ltda,115466 A,16,78372,02898/ 1918/ 2011,29/11/2011,ROD. BR 101 - MACAÉ - RJ
"CLENIL NASAL Aquoso 50MCG/DOSE - FRASCO COM 130DOSES",CHIESI FARMACÊUTICA LTDA,111413,40,78372,02898/1918/2011,29/11/2011,ROD. BR 101 - MACAÉ - RJ
CLENIL PULVINAL 200 MCG,Chiesi Farmacêutica Ltda,111274 B,24,78372,02898/ 1918/ 2011,29/11/2011,ROD. BR 101 - MACAÉ - RJ
"CLENIL PULVINAL 200 MCG/DOSE -FRASCO COM 100 DOSES",CHIESI FARMACÊUTICA LTDA,117231A,6,78372,02898/1918/2011,29/11/2011,ROD. BR 101 - MACAÉ - RJ
"CLEXANE SAFETY LOCK 20MG 10SERINGA","SANOFI-AVENTIS FARMACÊUTICALTDA",22144,9,64867,68/2011,20/04/2011,São Paulo - SP
"CLEXANE SAFETY LOCK 20MG 10SERINGA","SANOFI-AVENTIS FARMACÊUTICALTDA",22144,45,64868,68/2011,20/04/2011,São Paulo - SP
"CLEXANE SAFETY LOCK 20MG 10SERINGAS","SANOFI-AVENTIS FARMACÊUTICALTDA",22144,9,64867,68/2011,19/04/2011,Carandiru - SP
"CLEXANE SAFETY LOCK 20MG 10SERINGAS","SANOFI-AVENTIS FARMACÊUTICALTDA",22144,45,64868,68/2011,19/04/2011,Carandiru - SP
"CLEXANE SAFETY LOCK 40MG 10SERINGA","SANOFI-AVENTIS FARMACÊUTICALTDA",24430,47,64867,68/2011,20/04/2011,São Paulo - SP
"CLEXANE SAFETY LOCK 40MG 10SERINGA","SANOFI-AVENTIS FARMACÊUTICALTDA",24430,121,64868,68/2011,20/04/2011,São Paulo - SP
"CLEXANE SAFETY LOCK 40MG 10SERINGAS","SANOFI-AVENTIS FARMACÊUTICALTDA",24430,47,64867,68/2011,19/04/2011,Carandiru - SP
"CLEXANE SAFETY LOCK 40MG 10SERINGAS","SANOFI-AVENTIS FARMACÊUTICALTDA",24430,121,64868,68/2011,19/04/2011,Carandiru - SP
"CLEXANE SAFETY LOCK 60MG 2SERINGAS","SANOFI-AVENTIS FARMACÊUTICALTDA",26031,45,64867,68/2011,20/04/2011,São Paulo - SP
"CLEXANE SAFETY LOCK 60MG 2SERINGAS","SANOFI-AVENTIS FARMACÊUTICALTDA",26031,45,64867,68/2011,19/04/2011,Carandiru - SP
"CLEXANE SAFETY LOCK 80MG 2SERINGAS","SANOFI-AVENTIS FARMACÊUTICALTDA",28722,35,64867,68/2011,20/04/2011,São Paulo - SP
"CLEXANE SAFETY LOCK 80MG 2SERINGAS","SANOFI-AVENTIS FARMACÊUTICALTDA",28722,35,64867,68/2011,19/04/2011,Carandiru - SP
CLIFEMIM 160MG 30 COMP,"HERBARIUM LABORATÓRIOBOTÂNICO LTDA,",660961,10,71188,987681,03/10/2011,CAJATI - SP
CLIFEMIN 160MG 30 COMP,"HERBARIUM LABORATÓRIOBOTÂNICO LTDA,",660961,2,71185,987681,03/10/2011,CAJATI - SP
CLONAZEPAM 2MG 30CPR (B1),Eurofarma Laboratórios Ltda,214034,300,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
"",,,Quantidade Roubada/,,,Data do roubo,
Medicamento,Empresa,No lote,Furtada/Extraviada,No Nota Fiscal,No Boletim de Ocorrência,ou extravio,Local do roubo ou extravio
"",CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
"CLOPAM 0,5 MG COM. - 2 BL X 10",FARMACÊUTICOS LTDA.,10118123,68 cxs,0443729,447/2011,03/05/2011,Registro - SP
CLOPIXOL 10 MG 20 COMP AG,LUNDBECK BRASIL LTDA,2195451,7,9656,125834/2011,27/07/2011,Viana/ ES
CLOPIXOL 10MG 20 COMP AG,LUNDBECK BRASIL LTDA.,2221459,10,1777,4096/2011,18/05/2011,Porto Alegre - RS
CLOPIXOL 10MG 20COMP,LUNDBECK BRASIL LTDA,2266982,12,5088,4017/2011,19/07/2011,São Paulo/ SP
CLOPIXOL 10MG COMPRIMIDOS,,,,,,,
"",,2221459,10,1777,4096/2011,08/03/2011,Porto Alegre/RS
AG,LUNDBECK BRASIL LTDA,,,,,,
CLOPIXOL 20MG 20COMP,LUNDBECK BRASIL LTDA,2230196,12,5088,4017/2011,19/07/2011,São Paulo/ SP
CLOPIXOL 25MG COMPRIMIDOS,LUNDBECK BRASIL LTDA,2230196,1,4635,104/2012,03/05/2011,São Paulo/ SP
CLOPIXOL ACUPHASE 50 MG/MJ AG,LUNDBECK BRASIL LTDA.,2218185,10,1777,4096/2011,18/05/2011,Porto Alegre - RS
CLOPIXOL ACUPHASE 50MG/ML,,,,,,,
"",,2218185,10,1777,4096/2011,08/03/2011,Porto Alegre/RS
AG,LUNDBECK BRASIL LTDA,,,,,,
CLOPIXOL DEPOT 200MG/ML,LUNDBECK BRASIL LTDA,2229055,2,4635,104/2012,03/05/2011,São Paulo/ SP
CLOPIXOL DEPOT 200MG/ML,LUNDBECK BRASIL LTDA,2210472,10,2661,11I0319038006,10/06/2011,Jaboatã dos Guararapes/ PE
CLOPIXOL DEPOT 200MG/ML,LUNDBECK BRASIL LTDA,2233820,24,5088,4017/2011,19/07/2011,São Paulo/ SP
CLOPIXOLACUPHASE 50 MG/ML AG,LUNDBECK BRASIL LTDA,2205907,7,9656,125834/2011,27/07/2011,Viana/ ES
CLORIDRATO DE VENLAFAXINA,TOTALMED DISTRIBUIDORA DE,,,,,,MUNICIPIO DE CAETE/MG
150MG 30CPR LABORATORIO SEM,MEDICAMENTOS LTDA,3531445,4,16664,970929,30/08/2011,BR381 KM 415
CLORTAMINA 50MG/ML CX C/05 FA X,AGILA MARKETING E DISTRIB. DE,,,,,,
"",,102071,10,5135,13614603,04/11/2011,CARIACICA - ES
10ML (LISTA C1)*,PROD. HOSP. LTDA,,,,,,
CLOZAPINA LAFEPE /,,,,,"1735/2011, 1743/2011 e",,
"",,11101417,5.709,,,,
clozapina,CRISTÁLIA PROD. QUIM. FARMAC,,,576068,1744/2001,26/12/2011,MIRACATU - SP
CLOZAPINA LAFEPE /,,,,,"1735/2011, 1743/2011 e",,
"",,11101418,2.375,,,,
clozapina,CRISTÁLIA PROD. QUIM. FARMAC,,,576068,1744/2001,26/12/2011,MIRACATU - SP
"",WYETH INDÚSTRIA,,,,,,
CLUSIVOL COMPOSTO,FARMACÊUTICA LTDA,69636,72,18045,89368,14/02/2011,Governador Valadares - MG
"",WYETH INDÚSTRIA,,,,,,
CLUSIVOL COMPOSTO,FARMACÊUTICA LTDA,69636,624,18058,89368,14/02/2011,Governador Valadares - MG
"",WYETH INDÚSTRIA,,,,,,
CLUSIVOL COMPOSTO,FARMACÊUTICA LTDA,69636,432,18059,89368,14/02/2011,Governador Valadares - MG
"",WYETH INDÚSTRIA,,,,,,
CLUSIVOL COMPOSTO,FARMACÊUTICA LTDA,69636,480,18062,89368,14/02/2011,Governador Valadares - MG
"",WYETH INDÚSTRIA,,,,,,
CLUSIVOL COMPOSTO,FARMACÊUTICA LTDA,69637,180,18152,89368,14/02/2011,Governador Valadares - MG
"",WYETH INDUSTRIA,,,,,,
CLUSIVOL COMPOSTO,,73351,48,23032,5911/2011,19/09/2011,ITAPEVI - SP
"",FARMACEUTICA LTDA,,,,,,
"",WYETH INDUSTRIA,,,,,,
CLUSIVOL COMPOSTO,,74432,504,25252,"5,82011E+11",29/11/2011,DECARGA - BA
"",FARMACEUTICA LTDA,,,,,,
CLUSIVOL COMPOSTO,WYETH IND. FARMACÊUTICA,73351,48,23032,5911/2011,19/09/2011,ITAPEVI - SP
"",,,,,,,CONCEIÇÃO DO JACUIPE -
CLUSIVOL COMPOSTO,WYETH IND. FARMACÊUTICA,74432,504,25252,582011000380,29/11/2011,BA
"",CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
CODEIN 30 MG COM. 3 BL X 10,FARMACÊUTICOS LTDA.,11010178,4 cxs,0443223,447/2011,03/05/2011,Registro - SP
"",CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
CODEIN 30 MG COM. 3 BL X 10,FARMACÊUTICOS LTDA.,11010178,360 cxs,0443729,447/2011,03/05/2011,Registro - SP
"",CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
CODEIN 30 MG COM. 3 BL X 10,FARMACÊUTICOS LTDA.,11010178,3 cxs,0443995,447/2011,03/05/2011,Registro - SP
"",,,Quantidade Roubada/,,,,Data do roubo,
Medicamento,Empresa,No lote,Furtada/Extraviada,,No Nota Fiscal,No Boletim de Ocorrência,ou extravio,Local do roubo ou extravio
"",CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,,
CODEIN 30 MG COM. 3 BL X 10,FARMACÊUTICOS LTDA.,11010178,6 cxs,,0443994,447/2011,03/05/2011,Registro - SP
"",CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,,
CODEIN 60 MG COM. 3 BL X 10,FARMACÊUTICOS LTDA.,11010180,68 cxs,,0443729,447/2011,03/05/2011,Registro - SP
"",SANOFI-AVENTIS COMERCIAL E,,,,,,,
COLIRIO MOURA BRASIL 20 ML,LOGISTICA LTDA,137299,1008,,88949,11eEO322000262,20/10/2011,RECIFE - PE
"",SANOFI-AVENTIS COMERCIAL E,,,,,,,
COLIRIO MOURA BRASIL 20 ML,LOGISTICA LTDA,1V3154,72,,88949,11eEO322000263,20/10/2011,RECIFE - PE
COLPISTAR CRM 40 G,FARMOQUÍMICCA S/A,110256,40,,38339,002853/11,01/08/2011,Campina Grande - PB
"",CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,,
COMPAZ 10 MG COM. - 20 BL X 10,FARMACÊUTICOS LTDA.,10053663,2 cxs,,0443223,447/2011,03/05/2011,Registro - SP
COMPAZ 5 MG/ML SOL INJ - 50 AMP,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,,
X 2 ML,FARMACÊUTICOS LTDA.,10107567,1 cx,,0443223,447/2011,03/05/2011,Registro - SP
COMPRIMIDOS,Chiesi Farmacêutica Ltda,111271 A,18,,78372,02898/ 1918/ 2011,29/11/2011,ROD. BR 101 - MACAÉ - RJ
CONECTOR VALVULADO NAC -,GABMED PRODUTOS,,,,,,,RUA CAMARDO - TATUAPE -
PLUS,ESPECÍFICOS LTDA,11H09,400,,7083,9670/2011,27/09/2011,SÃO PAULO
"",MEDLEY INDÚSTRIA,,,,,,,
CONFIARE PREVENT 10G (AG),FARMACEUTICA LTDA,11020031,,77,41290,1647/2011,01/09/2011,Brasilandia-SP
"",,,,,,,,R MANUEL ANTONIO
"",SANOFI-AVENTIS COMERCIAL E,,,,,,,"FONSECA, 3-BRASILANDIA -"
CONFIARE PREVENT 10G (AG),LOGISTICA LTDA,11020031,77,,41290,1649/2011,01/09/2011,SP
"",FRESENIUS HEMOCARE BRASIL,,,,,,,
CONTROCEL,LTDA,71EE27EM,9,,16505,3959/2011,26/05/2011,São Paulo - SP
"",FRESENIUS HEMOCARE BRASIL,,,,,,,
CONTROCEL,LTDA,71EE27EM,110,,16477,3959/2011,26/05/2011,São Paulo - SP
"",FRESENIUS HEMOCARE BRASIL,,,,,,,
CONTROCEL,LTDA,71EE27EM,1,,16506,3959/2011,26/05/2011,São Paulo - SP
"",FRESENIUS HEMOCARE BRASIL,,,,,,,
CONTROCEL RH,LTDA,71EA05EA,10,,16506,3959/2011,26/05/2011,São Paulo - SP
"",,,,,,,,Itinerário entre a
"",,,,,,,,Transportadora Rapidão
"",,RJ0441,1,,61782,Declaração de Sinistro,05/10/2011,
COREG 25MG 14 COMP,,,,,,,,Cometa - Recife - PE ao site
(CARVEDILOL),PRODUTOS ROCHE,,,,,,,de Distribuição Roche - GO
CORPUS IMUNE PREVENÇÕES,,,,,,,,
LTDA-E,GLAXOSMITHKLINE BRASIL LTDA,AHABB203BF,10,,,00348/1918/2011,04/02/2011,Rio de Janeiro - RJ
CORPUS IMUNE PREVENÇÕES,,,,,,,,
LTDA-E,GLAXOSMITHKLINE BRASIL LTDA,AHAVB404FA,5,,,00348/1918/2011,04/02/2011,Rio de Janeiro - RJ
"",MULTILAB IND E COM DE,,,,,,,
CORTITOP 10G,PRODUTOS FARMACÊUTICOS,JH 0695,,,,,,
"",LTDA,,,,,,,
"",MULTILAB IND E COM DE,,,,,,,
"",PRODUTOS FARMACÊUTICOS,,,,,,,
CORTITOP 10mg,LTDA,JH0695,95750,,,,,
"",LABORATORIOS SERVIER DO,,,,,,,
COVERSYL 4MG,BRASIL LTDA,3000278,36,,18293,6490/2010,08/11/2010,São Paulo - SP
"",LABORATORIOS SERVIER DO,,,,,,,
COVERSYL 8MG,BRASIL LTDA,3000456,12,,18293,6490/2010,08/11/2010,São Paulo - SP
"",LABORATORIOS SERVIER DO,,,,,,,
COVERSYL PLUS,BRASIL LTDA,835801,24,,18293,6490/2010,08/11/2010,São Paulo - SP
"",,,Quantidade Roubada/,,,,Data do roubo,
Medicamento,Empresa,No lote,Furtada/Extraviada,,No Nota Fiscal,No Boletim de Ocorrência,ou extravio,Local do roubo ou extravio
"",,,,,,,,AV. JOAO PESSOA -
CREME UNIVERSAL BISN 60G,MERCK S.A.,BR30139,100,,186483,308-4279/2011,03/10/2011,FORTALEZA
CREVAGIN CR 40G,Eurofarma Laboratórios Ltda,104,96,,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
"",LABORATORIOS SERVIER DO,,,,,,,
DAFLON 500,BRASIL LTDA,9L0503,240,,18294,6490/2010,08/11/2010,São Paulo - SP
"",LABORATORIOS SERVIER DO,,,,,,,
DAFLON 500,BRASIL LTDA,3000334,180,,18294,6490/2010,08/11/2010,São Paulo - SP
DAIVA INJ 1ML,Eurofarma Laboratórios Ltda,207773A,128,,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
"",,,,,,,,CONCEIÇÃO DO JACUIPE -
"",,EF0582,17,,2097*,582011000380,29/11/2011,
DAIVOBET,PROD. ROCHE,,,,,,,BA
DAIVOBET (HIDRATO DE,,,,,,,,
"",PRODUTOS ROCHE QUÍMICOS E,,,,,,,CONCEIÇÃO DO JACUIPE -
CALCIPOTRIOL DIPROPIONATO DE,,EF0582,17,,2097,"5,82011E+11",29/11/2011,
"",FARMACÊUTICOS S.A,,,,,,,BA
BETAMETASONA),,,,,,,,
"",PRODUTOS ROCHE QUÍMICOS E,,,,,525548-893682011-,,
DAIVOBET Pom. 30g,FARMACÊUTICOS S.A,EE2567,48,,000.000.086,000272934-001,14/02/2011,Governador Valadares - MG
"",PRODUTOS ROCHE QUÍMICOS E,,,,,525548-893682011-,,
DAIVONEX Pom. 30g,FARMACÊUTICOS S.A,EE2843,48,,000.000.086,000272934-001,14/02/2011,Governador Valadares - MG
DEJAVU  50MG 1CPR,Eurofarma Laboratórios Ltda,193443,100,,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
DENYL 20MG,CRISTÁLIA PROD. QUIM. FARMAC,11010278,150,,495871,01926/1918/2011,18/08/2011,S. J. MERITI - RJ
"",,,,,"51652, 51879,",,,
"",,,,,"51878, 51877,",,,
"",,,,,"51993, 51997,",,,
"",,,,,"51974, 51972,",,,
DESARCOR 16MG 30TAB BR,SANDOZ DO BRASIL IND. FARM.,BE6597AA,64,,52059,02898/1918/2011,29/11/2011,MACAÉ - RJ
"",MEDLEY INDÚSTRIA,,,,,,,
DESONOL CREME (AG),FARMACEUTICA LTDA,11051223,,18,41251,1647/2011,01/09/2011,Brasilandia-SP
"",,,,,,,,R MANUEL ANTONIO
"",SANOFI-AVENTIS COMERCIAL E,,,,,,,"FONSECA, 3-BRASILANDIA -"
DESONOL CREME (AG),LOGISTICA LTDA,11051223,18,,41251,1649/2011,01/09/2011,SP
"DESONOL LOÇÃO TÓPICA 0,05%",MEDLEY INDÚSTRIA,,,,,,,
30G (AG),FARMACEUTICA LTDA,11030687,,9,41251,1647/2011,01/09/2011,Brasilandia-SP
"",,,,,,,,R MANUEL ANTONIO
"DESONOL LOÇÃO TÓPICA 0,05%",SANOFI-AVENTIS COMERCIAL E,,,,,,,"FONSECA, 3-BRASILANDIA -"
30G (AG),LOGISTICA LTDA,11030687,9,,41251,1649/2011,01/09/2011,SP
DEXA - CITONEURIN AMP 3X1ML +,,,,,,,,AV. JOAO PESSOA -
3X2ML,MERCK S.A.,BR30897,204,,183150,308-4279/2011,03/10/2011,FORTALEZA
DEXALGEN INJ 6AMP,Eurofarma Laboratórios Ltda,211871B,192,,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
"",CIMED INDÚSTRIA DE,,,,,,,
DEXMINE COMP 1 BL X 20,MEDICAMENTOS LTDA,1102935,6,,159036,970929,30/08/2011,Carté-MG
"",CIMED INDÚSTRIA DE,,,,,,,
DEXMINE XPE FR 120 ML,MEDICAMENTOS LTDA,1103533,8,,158998,970929,30/08/2011,Carté-MG
DIACQUA  25MG 30CPR,Eurofarma Laboratórios Ltda,198189,100,,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
"",CIMED INDÚSTRIA DE,,,,,,,
"DIAD 0,75 mg 1 x 2 comp.",MEDICAMENTOS LTDA,11A0191,3000,,3989,555/2011,23/02/2011,São Paulo - SP
Medicamento,Empresa,No lote,"Quantidade Roubada/Furtada/Extraviada",No Nota Fiscal,No Boletim de Ocorrência,"Data do rouboou extravio",Local do roubo ou extravio
"DIAD 0,75 mg 1 x 2 comp.","CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",11B0209,3000,132167,F410223030850-2011,23/03/2011,João Monlevade - MG
"DIAD 0,75 MG COMP 1 BL X 2","CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",1102565,100,159049,970929,30/08/2011,Carté-MG
"DIAD 0,75 MG COMP 1 BL X 2","CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",1102565,30,158922,970929,30/08/2011,Carté-MG
"DIAD 0,75 MG COMP 1 BL X 2","CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",1102565,12,158998,970929,30/08/2011,Carté-MG
"DIAD 0,75 MG COMP 1 BL X 2","CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",1102565,30,159036,970929,30/08/2011,Carté-MG
"DIAD 0,75MG COMP 1 BL X 2","CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",11A0191,3000,3989,555/2011,05/05/2011,São Paulo - SP
DIAMICRON MR 30MG,"LABORATORIOS SERVIER DOBRASIL LTDA",3000258,372,18293,6490/2010,08/11/2010,São Paulo - SP
DIAMICRON MR 30MG,"LABORATORIOS SERVIER DOBRASIL LTDA",3000260,360,18293,6490/2010,08/11/2010,São Paulo - SP
"DIANEAL PD-2 (15+ 5,38+ 4,48+0,183+0,0508) MG/ML SOL DIAL PERICX BOLS PLAS INC FLEX X 6000ML",BAXTER HOSPITALAR LTDA,PN149F8,33,335970,125-01684/2011-01,19/07/2011,São Pedro da Aldeia - RJ
"DIANEAL PD-2 (15+ 5,38+ 4,48+0,257+0,0508) MG/ML SOL DIAL PERICX BOLS PLAS INC FLEX X 2000ML",BAXTER HOSPITALAR LTDA,PN144LO,96,304277 5,530/2011,09/04/2011,Itapetininga - SP
"DIANEAL PD-2 (15+ 5,38+ 4,48+0,257+0,0508) MG/ML SOL DIAL PERICX BOLS PLAS INC FLEX X 2000ML",BAXTER HOSPITALAR LTDA,PN145NO,48,304277 5,530/2011,09/04/2011,Itapetininga - SP
"DIANEAL PD-2 (15+ 5,38+ 4,48+0,257+0,0508) MG/ML SOL DIAL PERICX BOLS PLAS INC FLEX X 2000ML",BAXTER HOSPITALAR LTDA,PN144X5,60,304278 5,530/2011,09/04/2011,Itapetininga - SP
"DIANEAL PD-2 (15+ 5,38+ 4,48+0,257+0,0508) MG/ML SOL DIAL PERICX BOLS PLAS INC FLEX X 2000ML",BAXTER HOSPITALAR LTDA,PN144X8,30,304278 5,530/2011,09/04/2011,Itapetininga - SP
"DIANEAL PD-2 (15+ 5,38+ 4,48+0,257+0,0508) MG/ML SOL DIAL PERICX BOLS PLAS INC FLEX X 2000ML",BAXTER HOSPITALAR LTDA,PN144X2,15,304279 5,530/2011,09/04/2011,Itapetininga - SP
"DIANEAL PD-2 (15+ 5,38+ 4,48+0,257+0,0508) MG/ML SOL DIAL PERICX BOLS PLAS INC FLEX X 2000ML",BAXTER HOSPITALAR LTDA,PN144X8,24,304279 5,530/2011,09/04/2011,Itapetininga - SP
"DIANEAL PD-2 (15+ 5,38+ 4,48+0,257+0,0508) MG/ML SOL DIAL PERICX BOLS PLAS INC FLEX X 2000ML",BAXTER HOSPITALAR LTDA,PN144LO,88,304280 5,530/2011,09/04/2011,Itapetininga - SP
Medicamento,Empresa,No lote,"Quantidade Roubada/Furtada/Extraviada",No Nota Fiscal,No Boletim de Ocorrência,"Data do rouboou extravio",Local do roubo ou extravio
"DIANEAL PD-2 (15+ 5,38+ 4,48+0,257+0,0508) MG/ML SOL DIAL PERICX BOLS PLAS INC FLEX X 2000ML",BAXTER HOSPITALAR LTDA,PN145NO,32,304280 5,530/2011,09/04/2011,Itapetininga - SP
"DIANEAL PD-2 (15+ 5,38+ 4,48+0,257+0,0508) MG/ML SOL DIAL PERICX BOLS PLAS INC FLEX X 2000ML",BAXTER HOSPITALAR LTDA,PN144LO,88,304281 5,530/2011,09/04/2011,Itapetininga - SP
"DIANEAL PD-2 (15+ 5,38+ 4,48+0,257+0,0508) MG/ML SOL DIAL PERICX BOLS PLAS INC FLEX X 2000ML",BAXTER HOSPITALAR LTDA,PN144LO,72,304282 5,530/2011,09/04/2011,Itapetininga - SP
"DIANEAL PD-2 (15+ 5,38+ 4,48+0,257+0,0508) MG/ML SOL DIAL PERICX BOLS PLAS INC FLEX X 2000ML",BAXTER HOSPITALAR LTDA,PN145NO,24,304282 5,530/2011,09/04/2011,Itapetininga - SP
"DIANEAL PD-2 (15+ 5,38+ 4,48+0,257+0,0508) MG/ML SOL DIAL PERICX BOLS PLAS INC FLEX X 2000ML",BAXTER HOSPITALAR LTDA,PN144LO,64,304283 5,530/2011,09/04/2011,Itapetininga - SP
"DIANEAL PD-2 (15+ 5,38+ 4,48+0,257+0,0508) MG/ML SOL DIAL PERICX BOLS PLAS INC FLEX X 2000ML",BAXTER HOSPITALAR LTDA,PN145NO,64,304283 5,530/2011,09/04/2011,Itapetininga - SP
"DIANEAL PD-2 (15+ 5,38+ 4,48+0,257+0,0508) MG/ML SOL DIAL PERICX BOLS PLAS INC FLEX X 2000ML",BAXTER HOSPITALAR LTDA,PN144LO,64,304284 5,530/2011,09/04/2011,Itapetininga - SP
"DIANEAL PD-2 (15+ 5,38+ 4,48+0,257+0,0508) MG/ML SOL DIAL PERICX BOLS PLAS INC FLEX X 2000ML",BAXTER HOSPITALAR LTDA,PN145NO,64,304284 5,530/2011,09/04/2011,Itapetininga - SP
"DIANEAL PD-2 (15+ 5,38+ 4,48+0,257+0,0508) MG/ML SOL DIAL PERICX BOLS PLAS INC FLEX X 2000ML",BAXTER HOSPITALAR LTDA,PN144LO,120,304285 5,530/2011,09/04/2011,Itapetininga - SP
"DIANEAL PD-2 (15+ 5,38+ 4,48+0,257+0,0508) MG/ML SOL DIAL PERICX BOLS PLAS INC FLEX X 2000ML",BAXTER HOSPITALAR LTDA,PN145NO,24,304285 5,530/2011,09/04/2011,Itapetininga - SP
"DIANEAL PD-2 (15+ 5,38+ 4,48+0,257+0,0508) MG/ML SOL DIAL PERICX BOLS PLAS INC FLEX X 2000ML",BAXTER HOSPITALAR LTDA,PN144LO,120,304286 5,530/2011,09/04/2011,Itapetininga - SP
