Ordem,Produto*,Empresa*,No de Série/ Lote*,"Quantidade Roubada/ Furtada/Extraviada*",No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade*,UF*
32,1-D OASYS -0.75  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,404195510100002000,1,4229477,N/A,13/10/2021,SAO PAULO,SP
33,1-D OASYS -0.75  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,404195510100002000,1,4229477,N/A,13/10/2021,SAO PAULO,SP
34,1-D OASYS -1.00  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,404189510400011000,1,4229477,N/A,13/10/2021,SAO PAULO,SP
35,1-D OASYS -1.00  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,404189510400011000,1,4229477,N/A,13/10/2021,SAO PAULO,SP
36,1-D OASYS -1.25  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,564754010900003000,1,4229477,N/A,13/10/2021,SAO PAULO,SP
37,1-D OASYS -1.25  (8.5) LEN CON DES,JOHNSON & JOHNSON,564632010200000082,1,3916369,2521/2020,18/11/2020,SÃO PAULO,SP
38,1-D OASYS -1.50  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,403252510100006000,1,4229477,N/A,13/10/2021,SAO PAULO,SP
39,1-D OASYS -1.50  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,403252510100006000,1,4229477,N/A,13/10/2021,SAO PAULO,SP
40,1-D OASYS -1.75  (8.5) LEN CON DES,JOHNSON & JOHNSON,409697010300000238,1,4268203,NA,17/11/2021,MARINGA,PR
41,1-D OASYS -1.75  (8.5) LEN CON DES,JOHNSON & JOHNSON,40933040100000307,1,4219778,N/A,06/10/2021,SAO PAULO,SP
Ordem,Produto*,Empresa*,No de Série/ Lote*,"Quantidade Roubada/ Furtada/Extraviada*",No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade*,UF*
42,1-D OASYS -1.75  (8.5) LEN CON DES,JOHNSON & JOHNSON,404933040100000398,1,4219778,N/A,06/10/2021,SAO PAULO,SP
43,1-D OASYS -2.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,409691010400000381,1,4268203,NA,17/11/2021,MARINGA,PR
44,1-D OASYS -2.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,409691010400000760,1,4268203,NA,17/11/2021,MARINGA,PR
45,1-D OASYS -2.75  (8.5) LEN CON DES,JOHNSON & JOHNSON,564584010700000487,1,3916369,2521/2020,18/11/2020,SÃO PAULO,SP
46,1-D OASYS -2.75  (8.5) LEN CON DES,JOHNSON & JOHNSON,400117010500000675,1,3941001,2972/2020,09/12/2020,BARUERI,SP
47,1-D OASYS -2.75  (8.5) LEN CON DES,JOHNSON & JOHNSON,400117010500000728,1,3941001,2972/2020,09/12/2020,BARUERI,SP
48,1-D OASYS -2.75  (8.5) LEN CON DES,JOHNSON & JOHNSON,404306010100000588,1,4156363,2021 - 036207135-001,28/07/2021,CONTAGEM,MG
49,1-D OASYS -2.75  (8.5) LEN CON DES,JOHNSON & JOHNSON,404306010100000598,1,4156363,2021 - 036207135-001,28/07/2021,CONTAGEM,MG
50,1-D OASYS -3.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,554784010200000478,1,3941001,2972/2020,09/12/2020,BARUERI,SP
51,1-D OASYS -3.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,554784010200000437,1,3941000,2972/2020,09/12/2020,BARUERI,SP
52,1-D OASYS -3.25  (8.5) LEN CON DES,JOHNSON & JOHNSON,404315010500000790,1,4149854,N/A,03/08/2021,PORTO ALEGRE,RS
53,1-D OASYS -3.50  (8.5) LEN CON DES,JOHNSON & JOHNSON,404310010800000783,1,4156363,2021 - 036207135-001,28/07/2021,CONTAGEM,MG
54,1-D OASYS -3.50  (8.5) LEN CON DES,JOHNSON & JOHNSON,404310010800000803,1,4156363,2021 - 036207135-001,28/07/2021,CONTAGEM,MG
55,1-D OASYS -3.75  (8.5) LEN CON DES,JOHNSON & JOHNSON,565059010700000426,1,4149854,N/A,03/08/2021,PORTO ALEGRE,RS
56,1-D OASYS -3.75  (8.5) LEN CON DES,JOHNSON & JOHNSON,565059010700000476,1,4149854,N/A,03/08/2021,PORTO ALEGRE,RS
57,1-D OASYS -4.25  (8.5) LEN CON DES,JOHNSON & JOHNSON,399834010200000130,1,3916369,2521/2020,18/11/2020,SÃO PAULO,SP
58,1-D OASYS -4.25  (8.5) LEN CON DES,JOHNSON & JOHNSON,399834010200000201,1,3916369,2521/2020,18/11/2020,SÃO PAULO,SP
59,1-D OASYS -4.50  (8.5) LEN CON DES,JOHNSON & JOHNSON,632468010500001022,1,4129290,N/A,03/08/2021,BRASILIA,DF
60,1-D OASYS -4.75  (8.5) LEN CON DES,JOHNSON & JOHNSON,526846010200000176,1,4149854,N/A,03/08/2021,PORTO ALEGRE,RS
61,1-D OASYS -5.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,526657010500000475,1,4143863,N/A,15/08/2021,PORTO ALEGRE - RS,RS
62,1-D OASYS -5.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,526657010500000485,1,4143863,N/A,15/08/2021,PORTO ALEGRE - RS,RS
63,1-D OASYS -5.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,526657010500000505,1,4143863,N/A,15/08/2021,PORTO ALEGRE - RS,RS
64,1-D OASYS -5.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,526657010500000445,1,4143862,N/A,15/08/2021,PORTO ALEGRE - RS,RS
65,1-D OASYS -6.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,402183010300000810,1,3964203,NA,16/02/2021,SALVADOR,BA
66,1-D OASYS -6.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,402183010300000787,1,3964203,NA,16/02/2021,SALVADOR,BA
67,1-D OASYS -6.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,402183010300000821,1,3964203,NA,16/02/2021,SALVADOR,BA
68,1-D OASYS -6.50  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,631115010800004519,1,3964204,NA,16/02/2021,SALVADOR,BA
69,1-D OASYS -6.50  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,631115010800004556,1,3964204,NA,16/02/2021,SALVADOR,BA
70,1-D OASYS -6.50  (8.5) LEN CON DES,JOHNSON & JOHNSON,565181011000000391,1,4195166,N/A,13/09/2021,RIO DE JANEIRO - RJ,RJ
71,1-D OASYS -6.50  (8.5) LEN CON DES,JOHNSON & JOHNSON,565181011000000402,1,4195166,N/A,13/09/2021,RIO DE JANEIRO - RJ,RJ
72,1-D OASYS -6.50  (8.5) LEN CON DES,JOHNSON & JOHNSON,565181011000000413,1,4195166,N/A,13/09/2021,RIO DE JANEIRO - RJ,RJ
73,1-D OASYS -6.50  (8.5) LEN CON DES,JOHNSON & JOHNSON,565181011000000426,1,4195166,N/A,13/09/2021,RIO DE JANEIRO - RJ,RJ
74,1-D OASYS -7.00  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,631128510700000305,1,3964204,NA,16/02/2021,SALVADOR,BA
75,1-D OASYS -7.00  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,631128510700000374,1,3964204,NA,16/02/2021,SALVADOR,BA
76,1-D OASYS -7.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,401064010200000420,1,3964203,NA,16/02/2021,SALVADOR,BA
77,1-D OASYS -7.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,401064010200000430,1,3964203,NA,16/02/2021,SALVADOR,BA
78,1-D OASYS -7.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,401064010200000517,1,3964203,NA,16/02/2021,SALVADOR,BA
79,1-D OASYS -7.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,526695010900000125,1,4195166,N/A,13/09/2021,RIO DE JANEIRO - RJ,RJ
80,1-D OASYS -7.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,526695010900000136,1,4195166,N/A,13/09/2021,RIO DE JANEIRO - RJ,RJ
81,1-D OASYS -7.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,526695010900000176,1,4195166,N/A,13/09/2021,RIO DE JANEIRO - RJ,RJ
82,1-D OASYS -7.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,526695010900000197,1,4195166,N/A,13/09/2021,RIO DE JANEIRO - RJ,RJ
Ordem,Produto*,Empresa*,No de Série/ Lote*,"Quantidade Roubada/ Furtada/Extraviada*",No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade*,UF*
83,1-D OASYS AST +0.00 -2.25/160 DIAG LENTE,JOHNSON & JOHNSON,B00W6TN,3,4229477,N/A,13/10/2021,SAO PAULO,SP
84,1-D OASYS AST +0.00 -2.25/160 DIAG LENTE,JOHNSON & JOHNSON,B00W6TN,3,4229477,N/A,13/10/2021,SAO PAULO,SP
85,1-D OASYS AST +0.00 -2.25/180 DIAG LENTE,JOHNSON & JOHNSON,B00Z5L9,3,4229477,N/A,13/10/2021,SAO PAULO,SP
86,1-D OASYS AST +0.00 -2.25/180 DIAG LENTE,JOHNSON & JOHNSON,B00Z5L9,3,4229477,N/A,13/10/2021,SAO PAULO,SP
87,1-D OASYS AST +1.50 -0.75/170 DIAG LENTE,JOHNSON & JOHNSON,B00XRJM,3,4229477,N/A,13/10/2021,SAO PAULO,SP
88,1-D OASYS AST +1.50 -0.75/170 DIAG LENTE,JOHNSON & JOHNSON,B00XRJM,3,4229477,N/A,13/10/2021,SAO PAULO,SP
89,1-D OASYS AST +1.75 -0.75/160 DIAG LENTE,JOHNSON & JOHNSON,B00XVCZ,3,4229477,N/A,13/10/2021,SAO PAULO,SP
90,1-D OASYS AST +1.75 -0.75/160 DIAG LENTE,JOHNSON & JOHNSON,B00XVCZ,3,4229477,N/A,13/10/2021,SAO PAULO,SP
91,1-D OASYS AST -3.25 -0.75/180 DIAG LENTE,JOHNSON & JOHNSON,B00X95W,3,4229477,N/A,13/10/2021,SAO PAULO,SP
92,1DM MULT +0.75 LOW (8.4) 5P A GRATIS,JOHNSON & JOHNSON,1616076401,1,4245264,N/A,08/11/2021,BRASILIA,DF
93,1DM MULT +1.00 HIGH (8.4) 5P A GRATIS,JOHNSON & JOHNSON,1528556401,1,4229477,N/A,13/10/2021,SAO PAULO,SP
94,1DM MULT +1.00 HIGH (8.4) 5P A GRATIS,JOHNSON & JOHNSON,1528556401,1,4229477,N/A,13/10/2021,SAO PAULO,SP
95,1DM MULT +1.00 LOW (8.4) 5P A GRATIS,JOHNSON & JOHNSON,161318640600003385,1,4245264,N/A,08/11/2021,BRASILIA,DF
96,1DM MULT +1.75 HIGH (8.4) 5P A GRATIS,JOHNSON & JOHNSON,1528836404,1,4229477,N/A,13/10/2021,SAO PAULO,SP
97,1DM MULT +1.75 HIGH (8.4) 5P A GRATIS,JOHNSON & JOHNSON,1528836404,1,4229477,N/A,13/10/2021,SAO PAULO,SP
98,1DM MULT +1.75 HIGH (8.4) LEN CON DES,JOHNSON & JOHNSON,152755140700000455,1,4221695,10602/2021,24/09/2021,SAO LEOPOLDO,RS
99,1DM MULT +2.00 HIGH (8.4) LEN CON DES,JOHNSON & JOHNSON,151909140100000545,1,3903360,NA,15/12/2020,MANAUS,AM
100,1DM MULT +2.00 HIGH (8.4) LEN CON DES,JOHNSON & JOHNSON,151909140100000554,1,3903358,NA,15/12/2020,MANAUS,AM
101,1DM MULT +2.00 HIGH (8.4) LEN CON DES,JOHNSON & JOHNSON,151909140100000531,1,3903358,NA,15/12/2020,MANAUS,AM
102,1DM MULT +2.00 HIGH (8.4) LEN CON DES,JOHNSON & JOHNSON,161650140900000122,1,3950321,1349/2020,12/12/2020,OSASCO,SP
103,1DM MULT +2.00 HIGH (8.4) LEN CON DES,JOHNSON & JOHNSON,161535140600000310,1,3950324,1349/2020,12/12/2020,OSASCO,SP
104,1DM MULT +2.00 MEDIUM (8.4) LEN CON DES,JOHNSON & JOHNSON,181858160100000050,1,3950324,1349/2020,12/12/2020,OSASCO,SP
105,1DM MULT +2.00 MEDIUM (8.4) LEN CON DES,JOHNSON & JOHNSON,181916160200000447,1,3950324,1349/2020,12/12/2020,OSASCO,SP
106,1DM MULT +2.00 MEDIUM (8.4) LEN CON DES,JOHNSON & JOHNSON,B00XCJL1DM,1,4221695,10602/2021,24/09/2021,SAO LEOPOLDO,RS
107,1DM MULT +2.25 MEDIUM (8.4) LEN CON DES,JOHNSON & JOHNSON,151676140200000070,1,3903360,NA,15/12/2020,MANAUS,AM
108,1DM MULT +2.25 MEDIUM (8.4) LEN CON DES,JOHNSON & JOHNSON,160486140300000512,1,3903360,NA,15/12/2020,MANAUS,AM
109,1DM MULT +2.25 MEDIUM (8.4) LEN CON DES,JOHNSON & JOHNSON,151675140100000560,1,3903360,NA,15/12/2020,MANAUS,AM
110,1DM MULT -1.75 HIGH (8.4) LEN CON DES,JOHNSON & JOHNSON,151514140200000542,1,3903360,NA,15/12/2020,MANAUS,AM
111,1DM MULT -1.75 HIGH (8.4) LEN CON DES,JOHNSON & JOHNSON,151514140300000138,1,3903360,NA,15/12/2020,MANAUS,AM
112,1DM MULT -1.75 HIGH (8.4) LEN CON DES,JOHNSON & JOHNSON,151514140300000469,1,3903360,NA,15/12/2020,MANAUS,AM
113,1DM MULT -1.75 HIGH (8.4) LEN CON DES,JOHNSON & JOHNSON,151514140200000443,1,3903360,NA,15/12/2020,MANAUS,AM
114,1DM MULT -1.75 LOW (8.4) 5P A GRATIS,JOHNSON & JOHNSON,152397640300003055,1,4131285,N/A,03/08/2021,SAO JOSE DO RIO PRETO,SP
115,1DM MULT -2.00 LOW (8.4) 5P A GRATIS,JOHNSON & JOHNSON,1525216404,1,4131285,N/A,03/08/2021,SAO JOSE DO RIO PRETO,SP
116,1DM MULT -4.25 HIGH (8.4) LEN CON DES,JOHNSON & JOHNSON,603875010300000472,1,3903360,NA,15/12/2020,MANAUS,AM
117,1DM MULT -4.25 HIGH (8.4) LEN CON DES,JOHNSON & JOHNSON,603607010200000479,1,3903360,NA,15/12/2020,MANAUS,AM
118,1DM MULT -4.25 HIGH (8.4) LEN CON DES,JOHNSON & JOHNSON,603607010200000500,1,3903358,NA,15/12/2020,MANAUS,AM
119,1DM MULT -4.25 HIGH (8.4) LEN CON DES,JOHNSON & JOHNSON,603766010100000540,1,3903358,NA,15/12/2020,MANAUS,AM
120,1DMA +1.50-1.25/90 (8.5) DIAG LENTE,JOHNSON & JOHNSON,B00PN0H,1,3925242,039-07757/2020,01/12/2020,RIO DE JANEIRO,RJ
121,1DMA +2.00-0.75/90 (8.5) DIAG LENTE,JOHNSON & JOHNSON,B00NX25,1,3925242,039-07757/2020,01/12/2020,RIO DE JANEIRO,RJ
122,1DMA +3.75 -0.75/100 (8.5) DIAG LENTE,JOHNSON & JOHNSON,B00NS3H,1,3925242,039-07757/2020,01/12/2020,RIO DE JANEIRO,RJ
123,1DMA +3.75 -0.75/80 (8.5) DIAG LENTE,JOHNSON & JOHNSON,B00NS3K,1,3925242,039-07757/2020,01/12/2020,RIO DE JANEIRO,RJ
Ordem,Produto*,Empresa*,No de Série/ Lote*,"Quantidade Roubada/ Furtada/Extraviada*",No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade*,UF*
124,1DMA +4.00-1.75/180 (8.5) LENTE CON,JOHNSON & JOHNSON,B00T4VB0FF,1,3928650,NA,15/12/2020,SÃO PAULO,SP
125,1DMA -0.50-1.75/180 (8.5) LENTE CON,JOHNSON & JOHNSON,J00279Z05S,1,4096960,45098903,31/05/2021,VILA VELHA,ES
126,1DMA -1.00-0.75/180 (8.5) LENTE CON,JOHNSON & JOHNSON,201389140500000149,1,4049776,N/A,27/04/2021,RIO DE JANEIRO - RJ,RJ
127,1DMA -1.25 -2.25/10 (8.5) LENTE CON,JOHNSON & JOHNSON,B00WHB30S8,1,4021895,N/A,16/03/2021,CAMPINAS,SP
128,1DMA -1.25 -2.25/10 (8.5) LENTE CON,JOHNSON & JOHNSON,B00T8KF034,1,4021895,N/A,16/03/2021,CAMPINAS,SP
129,1DMA -1.25 -2.25/10 (8.5) LENTE CON,JOHNSON & JOHNSON,B00WHB30S8,1,4021895,N/A,16/03/2021,CAMPINAS,SP
130,1DMA -1.25 -2.25/10 (8.5) LENTE CON,JOHNSON & JOHNSON,B00T8KF034,1,4021895,N/A,16/03/2021,CAMPINAS,SP
131,1DMA -1.25-0.75/180 (8.5) LENTE CON,JOHNSON & JOHNSON,644185010300000140,1,4049776,N/A,27/04/2021,RIO DE JANEIRO - RJ,RJ
132,1DMA -1.50-0.75/10 (8.5) LENTE CON,JOHNSON & JOHNSON,181244160100000013,1,4021896,N/A,16/03/2021,CAMPINAS,SP
133,1DMA -1.50-0.75/10 (8.5) LENTE CON,JOHNSON & JOHNSON,181244160100000078,1,4021895,N/A,16/03/2021,CAMPINAS,SP
134,1DMA -1.50-0.75/10 (8.5) LENTE CON,JOHNSON & JOHNSON,181244160100000013,1,4021896,N/A,16/03/2021,CAMPINAS,SP
135,1DMA -1.50-0.75/10 (8.5) LENTE CON,JOHNSON & JOHNSON,181244160100000078,1,4021895,N/A,16/03/2021,CAMPINAS,SP
136,1DMA -2.25-0.75/10 (8.5) LENTE CON,JOHNSON & JOHNSON,201674140200000360,1,4049776,N/A,27/04/2021,RIO DE JANEIRO - RJ,RJ
137,1DMA -2.25-0.75/10 (8.5) LENTE CON,JOHNSON & JOHNSON,201674140200000178,1,4049776,N/A,27/04/2021,RIO DE JANEIRO - RJ,RJ
138,1DMA -2.25-0.75/10 (8.5) LENTE CON,JOHNSON & JOHNSON,201674140200000481,1,4049776,N/A,27/04/2021,RIO DE JANEIRO - RJ,RJ
139,1DMA -2.25-0.75/10 (8.5) LENTE CON,JOHNSON & JOHNSON,201674140300000295,1,4049776,N/A,27/04/2021,RIO DE JANEIRO - RJ,RJ
140,1DMA -2.25-0.75/10 (8.5) LENTE CON,JOHNSON & JOHNSON,201674140200000493,1,4049776,N/A,27/04/2021,RIO DE JANEIRO - RJ,RJ
141,1DMA -2.50-0.75/170 (8.5) DIAG LENTE,JOHNSON & JOHNSON,1811681603,1,3925242,039-07757/2020,01/12/2020,RIO DE JANEIRO,RJ
Ordem,Produto*,Empresa*,No de Série/ Lote*,"Quantidade Roubada/ Furtada/Extraviada*",No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade*,UF*
142,1DMA -2.50-1.25/10 (8.5) DIAG LENTE,JOHNSON & JOHNSON,6512600101,1,3925242,039-07757/2020,01/12/2020,RIO DE JANEIRO,RJ
143,1DMA -2.50-1.25/170 (8.5) LENTE CON,JOHNSON & JOHNSON,200802140200000158,1,4049776,N/A,27/04/2021,RIO DE JANEIRO - RJ,RJ
144,1DMA -2.50-1.25/170 (8.5) LENTE CON,JOHNSON & JOHNSON,200802140200000143,1,4049776,N/A,27/04/2021,RIO DE JANEIRO - RJ,RJ
145,1DMA -2.50-1.25/170 (8.5) LENTE CON,JOHNSON & JOHNSON,181167160200000528,1,4049776,N/A,27/04/2021,RIO DE JANEIRO - RJ,RJ
146,1DMA -2.50-1.25/170 (8.5) LENTE CON,JOHNSON & JOHNSON,181167160200000410,1,4049776,N/A,27/04/2021,RIO DE JANEIRO - RJ,RJ
147,1DMA -2.50-1.25/170 (8.5) LENTE CON,JOHNSON & JOHNSON,181167160200000328,1,4049776,N/A,27/04/2021,RIO DE JANEIRO - RJ,RJ
148,1DMA -2.75-0.75/160 (8.5) LENTE CON,JOHNSON & JOHNSON,314878010900001007,1,4318816,2642/2021,10/12/2021,SAO PAULO,SP
149,1DMA -3.00-0.75/170 (8.5) LENTE CON,JOHNSON & JOHNSON,373576011100050333,1,4049776,N/A,27/04/2021,RIO DE JANEIRO - RJ,RJ
150,1DMA -4.00-0.75/180 (8.5) LENTE CON,JOHNSON & JOHNSON,201500140300000055,1,4049776,N/A,27/04/2021,RIO DE JANEIRO - RJ,RJ
151,1DMA -4.00-0.75/180 (8.5) LENTE CON,JOHNSON & JOHNSON,201500140300000103,1,4049776,N/A,27/04/2021,RIO DE JANEIRO - RJ,RJ
152,1DMA -4.00-2.25/90 (8.5) LENTE CON,JOHNSON & JOHNSON,B00T4WP06Z,1,4229469,N/A,13/10/2021,SAO PAULO,SP
153,1DMA -4.00-2.25/90 (8.5) LENTE CON,JOHNSON & JOHNSON,B00X14L030,1,4229469,N/A,13/10/2021,SAO PAULO,SP
154,1DMA -4.00-2.25/90 (8.5) LENTE CON,JOHNSON & JOHNSON,B00X14L07N,1,4229469,N/A,13/10/2021,SAO PAULO,SP
155,1DMA -4.00-2.25/90 (8.5) LENTE CON,JOHNSON & JOHNSON,B00T4WP081,1,4229468,N/A,13/10/2021,SAO PAULO,SP
156,1DMA -4.00-2.25/90 (8.5) LENTE CON,JOHNSON & JOHNSON,B00T4WP06Z,1,4229469,N/A,13/10/2021,SAO PAULO,SP
157,1DMA -4.00-2.25/90 (8.5) LENTE CON,JOHNSON & JOHNSON,B00X14L030,1,4229469,N/A,13/10/2021,SAO PAULO,SP
158,1DMA -4.00-2.25/90 (8.5) LENTE CON,JOHNSON & JOHNSON,B00X14L07N,1,4229469,N/A,13/10/2021,SAO PAULO,SP
159,1DMA -4.00-2.25/90 (8.5) LENTE CON,JOHNSON & JOHNSON,B00T4WP081,1,4229468,N/A,13/10/2021,SAO PAULO,SP
160,1DMA -4.25-1.25/180 (8.5) DIAG LENTE,JOHNSON & JOHNSON,6908770103,1,4214066,2080/2021,16/09/2021,SANTO ANDRÉ,SP
161,1DMA -4.75-0.75/170 (8.5) LENTE CON,JOHNSON & JOHNSON,314100010400000305,1,4096961,45098903,31/05/2021,VILA VELHA,ES
