17,ACEBROFILINA 5MG/ML XPE INF VD 1X120ML,BRAINFARMA IND. QUÍM. E FARM.,B19M0947,159,31.592,8,704287,14023985,28/02/2020,19 km após Bela Vista de Goiás - GO 020,GO
18,ACERATUM GOTAS 100MG/ML 10 ML,DELTA,19698,6,NA,NA,84.649,2020-055419157-001,10/11/2020,"RUA JOSE ALVES DA SILVA, 69.  BAIRRO CAIÇARAS - BELOHORIZONTE/MG",MG
19,ACERATUM GOTAS 100MG/ML 10 ML,DELTA,19698,6,NA,NA,84.687,2020-055419157-001,10/11/2020,"RUA JOSE ALVES DA SILVA, 69.  BAIRRO CAIÇARAS - BELOHORIZONTE/MG",MG
20,ACERTANLO 3.5/2.5MG,"LABORATÓRIOS SERVIER DOBRASIL LTDA",256864,40 CAIXAS,21.280,0,11884,013-04918/2019,20/12/2019,"RUA CONSTANTE RAMOS, 23 COPACABANA",RJ
21,"ACERTANLO 7,5MG/5MG","LABORATÓRIOS SERVIER DOBRASIL LTDA",255093,80 CAIXAS,49.534,0,9513,013-04918/2019,20/12/2019,"RUA CONSTANTE RAMOS, 23 COPACABANA",RJ
22,ACETATO DE DEXAMETASONA CREME x 10G,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1947283,12 UN,44763 UN,3154 UN,000216533-1,02_2020,03/01/2020,Campinas,SP
23,ACETATO DE DEXAMETASONA CREME x 10G,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1947283,12 UN,44763 UN,3154 UN,000217156-1,143/2020,10/01/2020,Capão Redondo,SP
24,ACETATO DE DEXAMETASONA CREME x 10G,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1947283,1 UN,44763 UN,3154 UN,000217360-1,143/2020,10/01/2020,Capão Redondo,SP
25,ACETATO DE DEXAMETASONA CREME x 10G,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1947283,3 UN,44763 UN,3154 UN,000218109-1,44/2020 e 49/2020 Complementar,11 e 14/01/2020,Brotas,SP
26,ACETATO DE DEXAMETASONA CREME x 10G,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1947283,6 UN,44763 UN,3154 UN,000218133-1,44/2020 e 49/2020 Complementar,11 e 14/01/2020,Brotas,SP
27,ACETATO DE DEXAMETASONA CREME x 10G,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1947283,24 UN,44763 UN,3154 UN,000218175-1,44/2020 e 49/2020 Complementar,11 e 14/01/2020,Brotas,SP
28,ACETATO DE DEXAMETASONA CREME x 10G,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1947283,60 UN,44763 UN,585 UN,000217685-1,240/2020,15/01/2020,CAMPO LIMPO,SP
29,ACETATO DE DEXAMETASONA CREME x 10G,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",2004114,3 UN,Não se aplica para Distribuidoras,9835 UN,000245216-1,1251,22/04/2020,Itanhaem,SP
30,ACETATO DE DEXAMETASONA CREME x 10G,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",2012747,3 UN,Não se aplica para Distribuidoras,1 UN,000267128-1,535/2020,08/07/2020,Guarujá,SP
31,ACETATO DE DEXAMETASONA CREME x 10G,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2008836,12,4571,0,147.720,2020-025033740-001,26/05/2020,BELO HORIZONTE,MG
32,ACETATO DE DEXAMETASONA CREME x 10G,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2017286,1,3602,0,159999,16078925,31/07/2020,SÃO PAULO,SP
33,ACETATO DE DEXAMETASONA CREME x 10G,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2017286,80,3602,0,160011,16078925,31/07/2020,SÃO PAULO,SP
34,ACETATO DE DEXAMETASONA CREME x 10G,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2017286,6,3602,0,160064,16078925,31/07/2020,SÃO PAULO,SP
35,ACETATO DE DEXAMETASONA CREME x 10G,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",2022049,6 UN,"NÃO SE APLICA PARADISTRIBUIDORAS",0 UN,000286951-1,16805592,21/09/2020,PRESIDENTE PRUDENTE,SP
36,ACETATO DE DEXAMETASONA CREME x 10G,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2025938,12 UN,"NÃO SE APLICA PARADISTRIBUIDORAS",11699 UN,000300579-1,4316/2020,03/11/2020,CAMPINAS,SP
37,ACETATO DE DEXAMETASONA CREME x 10G,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",2017286,3 UN,"NÃO SE APLICA PARADISTRIBUIDORAS",0 UN,000273642-1,17099803,13/11/2020,GUARULHOS,SP
38,ACETATO DE DEXAMETASONA CREME x 10G,"UNIAÕ QUÍMICA FARMACÊUTICANACIONAL",2022049,2,5.838,0,165606,2020-042771923-001,04/09/2020,CONTAGEM,MG
39,ACETATO DE DEXAMETASONA CREME x 10G,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2025938,24 UN,"NÃO SE APLICA PARADISTRIBUIDORAS",0 UN,000310659-1,1884088/2020,03/12/2020,SÃO PAULO,SP
40,ACETATO DE HIDROCORTISONA CREME X 20G,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1925267,12 UN,20516 UN,46 UN,000216533-1,02_2020,03/01/2020,Campinas,SP
41,ACETATO DE HIDROCORTISONA CREME X 20G,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1925267,3 UN,20516 UN,46 UN,000217156-1,143/2020,10/01/2020,Capão Redondo,SP
42,ACETATO DE HIDROCORTISONA CREME X 20G,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1925267,6 UN,20516 UN,46 UN,000218130-1,44/2020 e 49/2020 Complementar,11 e 14/01/2020,Brotas,SP
43,ACETATO DE HIDROCORTISONA CREME X 20G,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1925267,3 UN,20516 UN,64 UN,000217643-1,240/2020,15/01/2020,CAMPO LIMPO,SP
44,ACETATO DE HIDROCORTISONA CREME X 20G,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1925267,12 UN,20516 UN,64 UN,000217685-1,240/2020,15/01/2020,CAMPO LIMPO,SP
45,ACETATO DE HIDROCORTISONA CREME X 20G,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",2000892,1 UN,Não se aplica para Distribuidoras,8781 UN,000236321-1,732/2020,20/03/2020,SÃO BERNARDO DO CAMPO,SP
46,ACETATO DE HIDROCORTISONA CREME X 20G,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",2000892,3 UN,Não se aplica para Distribuidoras,8781 UN,000236242-1,732/2020,20/03/2020,SÃO BERNARDO DO CAMPO,SP
Ordem,Produto*,Empresa*,No Lote*,"Quantidade Roubada/ Furtada/Extraviada*","Quantidade Fabricada/Importada",Quantidade Estoque,No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade,UF
47,ACETATO DE HIDROCORTISONA CREME X 20G,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2017231,3,2560,0,159968,16078925,31/07/2020,SÃO PAULO,SP
48,ACETATO DE HIDROCORTISONA CREME X 20G,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2017231,6,2560,0,160011,16078925,31/07/2020,SÃO PAULO,SP
49,ACETATO DE HIDROCORTISONA CREME X 20G,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2017231,6,2560,0,160064,16078925,31/07/2020,SÃO PAULO,SP
50,ACETATO DE HIDROCORTISONA CREME X 20G,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2017231,1,2560,0,160067,16078925,31/07/2020,SÃO PAULO,SP
51,ACETATO DE HIDROCORTISONA CREME X 20G,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2017231,1,2560,0,160125,16078925,31/07/2020,SÃO PAULO,SP
52,ACETATO DE HIDROCORTISONA CREME X 20G,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2017231,1,2560,0,160119,16078925,31/07/2020,SÃO PAULO,SP
53,ACETATO DE HIDROCORTISONA CREME X 20G,"UNIAÕ QUÍMICA FARMACÊUTICANACIONAL",2017231,1,2.560,0,165586,2020-042771923-001,04/09/2020,CONTAGEM,MG
54,ACETILCISTEÍNA,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2004305,12 CARTUCHOS,192,0,136875,2020-021332667-001,05/05/2020,VARGINHA,MG
55,ACETILCISTEINA 10% SOL INJX5,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1931350,6 UN,27868 UN,43 UN,000215208-1,13370507,06/01/2020,Goiás,GO
56,ACETILCISTEINA 10% SOL INJX5,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1946794,11 UN,Não se aplica para Distribuidoras,4 UN,000236321-1,732/2020,20/03/2020,SÃO BERNARDO DO CAMPO,SP
57,ACETILCISTEINA 10% SOL INJX5,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1946794,12 UN,Não se aplica para Distribuidoras,4 UN,000236242-1,732/2020,20/03/2020,SÃO BERNARDO DO CAMPO,SP
58,ACETILCISTEINA 10% SOL INJX5,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",2016149,2 UN,Não se aplica para Distribuidoras,8563 UN,000267128-1,535/2020,08/07/2020,Guarujá,SP
59,ACETILCISTEINA 10% SOL INJX5,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",2016250,6 UN,"NÃO SE APLICA PARADISTRIBUIDORAS",1614 UN,000308459-1,7368/2020 e 7391/2020,28/11/2020,ITAQUAQUECETUBA,SP
60,ACETILCISTEINA 20MG/ML XPE PED 120ML GEN,LABORATÓRIO TEUTO,5888017,50 CAIXAS,11932,820,675598,20200530142832400,30/05/2020,SANTO ANTONIO DO DESCOBERTO,GO
61,ACETILCISTEINA 20MG/ML XPE PED 120ML GEN,LABORATÓRIO TEUTO BRASILEIRO,5888014,51 CAIXAS,14.610,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
62,ACETILCISTEINA 20MG/ML XPE PED 120ML GEN,LABORATÓRIO TEUTO BRASILEIRO,5888017,700 CAIXAS,11.932,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
63,ACETILCISTEINA 40MG/ML XPE ADU 120ML GEN,LABORATÓRIO TEUTO BRASILEIRO,5898010,450 CAIXAS,18.057,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
64,ACICLOMED 200MG COMP 2 BL X 15,"CIMED INDUSTRIA DEMEDICAMENTOS LTDA",2003255,6,8.567,264,446667,2020-016912409-001,08/04/2020,BELO HORIZONTE,MG
65,ACICLOMED 50MG/G CREM BG 10,"CIMED INDUSTRIA DEMEDICAMENTOS LTDA",2005300,6,69.829,3005,451310,2020-019499094-001,24/04/2020,RIBEIRÃO DAS NEVES,MG
66,ACICLOMED 50MG/G CREM BG 10,"CIMED INDUSTRIA DEMEDICAMENTOS LTDA",2005300,6,69.829,2993,450885,2020-019499094-001,24/04/2020,RIBEIRÃO DAS NEVES,MG
67,ACICLOMED 50MG/G CREM BG 10G,"CIMED INDUSTRIA DEMEDICAMENTOS LTDA",2005300,12,69.829,6554,446667,2020-016912409-001,08/04/2020,BELO HORIZONTE,MG
68,ACICLOMED 50MG/G CREM BG 10G,"CIMED INDUSTRIA DEMEDICAMENTOS LTDA",2005300,12,69.829,6554,446731,2020-016912409-001,08/04/2020,BELO HORIZONTE,MG
69,ACICLOVIR 200MG C/25 COMP GEN,LABORATÓRIO TEUTO BRASILEIRO,2876172,1 CAIXA,19.308,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
70,ACICLOVIR 200MG C/25 COMP GEN,LABORATÓRIO TEUTO BRASILEIRO,2876194,1150 CAIXAS,19.261,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
71,ACICLOVIR 200MG C/25 COMP GEN,LABORATÓRIO TEUTO BRASILEIRO,2876195,1250 CAIXAS,17.958,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
72,ACICLOVIR 200MG C/25 COMP GEN,LABORATÓRIO TEUTO BRASILEIRO,2876190,1200 CAIXAS,19.564,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
73,ACICLOVIR 400MG C/25COMP/RANB,DISLAB - GO,AA55364,3UN,-,-,254259,616/2020,16/04/2020,JUNDIAI,SP
74,ACICLOVIR 400MG C/30COMP/MDL,DISLAB - GO,2000172,2UN,-,-,237874,543/2020,07/03/2020,CAMPINAS,SP
75,ACICLOVIR 50MG/G CR 10G GEN,LABORATÓRIO TEUTO BRASILEIRO,2884151,2 CAIXAS,18.310,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
76,ACICLOVIR 50MG/G CR 10G GEN,LABORATÓRIO TEUTO BRASILEIRO,2884164,1800 CAIXAS,15.256,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
77,ACICLOVIR CR 10G,PRATIDONADUZZI & CIA LTDA,19J45E,12,-,-,000137026-1,20E2141000053,04/01/2020,CABO DE SANTO AGOSTINHO,PE
78,ACICLOVIR CR 10G,"PRATI, DONADUZZI E CIA LTDA",20A50J,3,3,0,417999,2020-016912409-001,08/04/2020,Belo Horizonte,MG
79,ACICLOVIR CR 10G,"PRATI, DONADUZZI E CIA LTDA",20B63N,1,1,0,422167,2020-016912409-001,08/04/2020,Belo Horizonte,MG
80,ACICLOVIR CR 10G,"PRATI, DONADUZZI E CIA LTDA",20B63N,6,6,0,422264,2020-016912409-001,08/04/2020,Belo Horizonte,MG
81,ACICLOVIR CR 10G,"PRATI, DONADUZZI E CIA LTDA",20B63N,6,6,0,422267,2020-016912409-001,08/04/2020,Belo Horizonte,MG
82,ACICLOVIR CR 10G,"PRATI, DONADUZZI E CIA LTDA",18J465,6,6,0,424137,2020-018151005-001,16/04/2020,Contagem,MG
83,ACICLOVIR CR 10G,"PRATI, DONADUZZI E CIA LTDA",20B63N,4,4,0,424154,2020-018151005-001,16/04/2020,Contagem,MG
84,ACICLOVIR CR 10G,"PRATI, DONADUZZI E CIA LTDA",20B66N,1,1,0,424614,2020-018151005-001,16/04/2020,Contagem,MG
85,ACICLOVIR CR 10G,"PRATI, DONADUZZI E CIA LTDA",20C11S,1,1,0,430225,2020-021358323-001,05/05/2020,Belo Horizonte,MG
86,ACICLOVIR CR 10G,"PRATI, DONADUZZI E CIA LTDA",20C11S,1,1,0,430296,2020-021358323-001,05/05/2020,Belo Horizonte,MG
87,ACICLOVIR CR 10G,"PRATI, DONADUZZI E CIA LTDA",20C11S,1,1,0,430318,2020-021358323-001,05/05/2020,Belo Horizonte,MG
88,ACICLOVIR CR 10G,"PRATI, DONADUZZI E CIA LTDA",20B94A,8 unidades,8,8,312955,-,29/04/2020,-,PR
89,ACICLOVIR CR 10G,"PRATI, DONADUZZI E CIA LTDA",20B65N,30 unidades,30,30,314211,-,06/05/2020,-,PR
90,ACICLOVIR CR 10G,"PRATI, DONADUZZI E CIA LTDA",20A50J,1 unidades,1,1,317227,514234/2020,07/05/2020,CAMPO DO SANTANA,PR
91,ACICLOVIR CR 10G,"PRATI, DONADUZZI E CIA LTDA",20C13S,3 unidades,3,3,317227,514234/2020,07/05/2020,CAMPO DO SANTANA,PR
92,ACICLOVIR CR 10G,"PRATI, DONADUZZI E CIA LTDA",20C15S,6 UNIDADES,6,6,320414,-,-,-,PR
Ordem,Produto*,Empresa*,No Lote*,"Quantidade Roubada/ Furtada/Extraviada*","Quantidade Fabricada/Importada",Quantidade Estoque,No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade,UF
93,ACICLOVIR CR 10G,"PRATI, DONADUZZI E CIA LTDA",20A44J,"1,000",1,1,306672,2020/270596,05/03/2020,TELEMACO BORBA,PR
94,ACICLOVIR CR 10G,"PRATI, DONADUZZI E CIA LTDA",19L221,"6,000",6,6,298794,2020/51470,16/01/2020,-,-
95,ACIDO ACETILS 100MG COMP 2 BL X 15,"CIMED INDUSTRIA DEMEDICAMENTOS LTDA",2005569,24,59.440,0,450796,2020-019499094-001,24/04/2020,RIBEIRÃO DAS NEVES,MG
96,ACIDO ACETILS 100MG COMP 2 BL X 15,"CIMED INDUSTRIA DEMEDICAMENTOS LTDA",2007111,24,58.984,6762,451310,2020-019499094-001,24/04/2020,RIBEIRÃO DAS NEVES,MG
97,ACIDO ACETILS 100MG COMP 20 BL X 10,"CIMED INDUSTRIA DEMEDICAMENTOS LTDA",2007041,3,8.730,2700,450796,2020-019499094-001,24/04/2020,RIBEIRÃO DAS NEVES,MG
98,ACIDO ACETILS 100MG COMP 20 BL X 10,"CIMED INDUSTRIA DEMEDICAMENTOS LTDA",2007209,16,8.883,4812,451310,2020-019499094-001,24/04/2020,RIBEIRÃO DAS NEVES,MG
99,ACIDO ACETILS 100MG COMP 20 BL X 10,"CIMED INDUSTRIA DEMEDICAMENTOS LTDA",2007041,8,8.730,2700,451310,2020-019499094-001,24/04/2020,RIBEIRÃO DAS NEVES,MG
100,ACIDO ACETILS 100MG COMP 2BL X 15,"CIMED INDUSTRIA DEMEDICAMENTOS LTDA",2005546,24,58.850,0,446287,2020-016912409-001,08/04/2020,BELO HORIZONTE,MG
101,ACIDO ACETILS 500MG COMP 10 BL X 10,"CIMED INDUSTRIA DEMEDICAMENTOS LTDA",1912572,3,5.061,20,450796,2020-019499094-001,24/04/2020,RIBEIRÃO DAS NEVES,MG
102,ACIDO VALPROICO,"BIOLAB SANUS FARMACÊUTICALTDA",1047296,4 CAIXAS,,4,45,3438 / 2020 / 100425,21/05/2020,DROGARIA,-
103,Aclasta 5mg/100ml inj.,Novarts,SEH15,1 Unidade,-,1,20158,1604/2020,02/04/2020,Central Clinic – Santo André,SP
104,ACNEZIL 50MG/G GEL BG 20G,"CIMED INDUSTRIA DEMEDICAMENTOS LTDA",2003326,3,34.060,0,437.094,2020-014722225-001,24/03/2020,RIBEIRÃO DAS NEVES,MG
105,"ACTEMRA 162 MG SOL INJ SC 4 SER PREENC(SUBCUTANEO)",ELFA MEDICAMENTOS S.A.,B1130B06,1 CAIXA,-,1,N°.000205250,229/220,19/08/2020,"RODOVIA BR 050 , 1 UBERABA",MG
106,ACTEMRA 200MG/10ML IV CT FA VD C/1 RCH,ELFA MEDICAMENTOS S.A.,B2089B14,2 CAIXA,-,17,N°.000205078,229/220,19/08/2020,"RODOVIA BR 050 , 1 UBERABA",MG
107,ACTEMRA 80 MG FR AMP C 4ML,"PRODUTOS ROCHE QUÍMICOS EFARMACÊUTICOS S.A.",B3036B07,1,N/A,0,953,1215/2020,24/07/2020,"Rodovia Presidente Dutra, após pedagio de Guararema",-
108,ACTEMRA 80MG/4ML 1FAMP,ELFA MEDICAMENTOS S.A.,B3036B07,1 CAIXA,-,0,N°.000205078,229/220,19/08/2020,"RODOVIA BR 050 , 1 UBERABA",MG
109,ACTILYSE 50MG C 1 AMP+DIL 50M,"BOEHRINGER INGELHEIM DO BRASILQUÍMICA E FARMACÊUTICA LTDA.",1073,1,N/A,209,358944,1215/2020,24/07/2020,"Rodovia Presidente Dutra, após pedagio de Guararema",-
110,ADCETRIS 50MG INJ C 1 AMP,TAKEDA DISTRIBUIDORA LTDA,11853203,10,N/A,105,6317,1215/2020,24/07/2020,"Rodovia Presidente Dutra, após pedagio de Guararema",-
111,ADDERA 2000UI CT BL 30 CAP MOLE,COSMED IND COSM MED S/A,H19H0015,315,32.612,45,706723,20E0180000763,11/03/2020,"BR-232, VIA LOCAL. MUNICÍPIO DE POMBOS -PERNAMBUCO - PE",PE
112,ADDERA 600UI GTS FR 5ML,COSMED IND COSM MED S/A,Q19L0125,96,41.832,21000,701145,2020 / 240152,21/02/2020,"Rodovia Regis Bittencourt , BR 116 - KM 02 - Município: CampinaGrande do Sul - PR",PR
113,ADDERA 600UI GTS FR 5ML,COSMED IND COSM MED S/A,Q19L0125,96,41.832,21.000,701145,2020 / 240152,21/02/2020,"Rodovia Regis Bittencourt , BR 116 - KM 02 - Município:Campina Grande do Sul - PR",PR
114,ADDERA 600UI GTS FR 5ML,COSMED IND COSM MED S/A,Q19L0125,264,62.050,21.696,706725,20E0180000763,11/03/2020,"BR-232, VIA LOCAL. MUNICÍPIO DE POMBOS -PERNAMBUCO - PE",PE
115,ADDERA D3 1.000UI CAP GEL CT 30UN,COSMED IND COSM MED S/A,B19K1649,90,33.003,0,706724,20E0180000763,11/03/2020,"BR-232, VIA LOCAL. MUNICÍPIO DE POMBOS -PERNAMBUCO - PE",PE
116,ADDERA D3 1.000UI CAP GEL CT 30UN,COSMED IND COSM MED S/A,B19J1579,45,32.553,45,706724,20E0180000763,11/03/2020,"BR-232, VIA LOCAL. MUNICÍPIO DE POMBOS -PERNAMBUCO - PE",PE
117,ADDERA D3 10.000UI CAP GEL CT BL 10UN,COSMED IND COSM MED S/A,B19J0615,135,28.897,0,706724,20E0180000763,11/03/2020,"BR-232, VIA LOCAL. MUNICÍPIO DE POMBOS -PERNAMBUCO - PE",PE
118,ADDERA D3 10.000UI/ML GTS CT FR 24X10ML,COSMED IND COSM MED S/A,B19K0533,96,1.174,3,706724,20E0180000763,11/03/2020,"BR-232, VIA LOCAL. MUNICÍPIO DE POMBOS -PERNAMBUCO - PE",PE
119,ADDERA D3 1000UI 30 COM REV,COSMED IND COSM MED S/A,B19G0444,264,2.661,0,706725,20E0180000763,11/03/2020,"BR-232, VIA LOCAL. MUNICÍPIO DE POMBOS -PERNAMBUCO - PE",PE
120,ADDERA D3 50.000UI COMP REV BL 24X1X4,COSMED IND COSM MED S/A,B19M1273,48,1.036,0,706724,20E0180000763,11/03/2020,"BR-232, VIA LOCAL. MUNICÍPIO DE POMBOS -PERNAMBUCO - PE",PE
121,ADDERA D3 50.000UI CT BL 24X10 COMP REV,COSMED IND COSM MED S/A,B20B0125,144,384,0,704114,14023985,28/02/2020,19 km após Bela Vista de Goiás - GO 020,GO
122,ADDERA D3 50.000UI CT BL 8 COMP REV,COSMED IND COSM MED S/A,B19F0482,72,12.213,0,706724,20E0180000763,11/03/2020,"BR-232, VIA LOCAL. MUNICÍPIO DE POMBOS -PERNAMBUCO - PE",PE
123,ADDERA D3 7.000 UI C/10 COMP,HYPERMARCAS S.A,B19H00948,1,-,-,11299457,2114/2020,06/03/2020,GUARUJÁ,SP
124,ADDERA D3 7.000UI CAP GEL CT 10UN,COSMED IND COSM MED S/A,B19L0253,45,49.327,0,704006,14023985,28/02/2020,19 km após Bela Vista de Goiás - GO 020,GO
125,ADDERA D3 7.000UI CAP GEL CT 4UN,COSMED IND COSM MED S/A,B19K0145,45,47.065,0,704006,14023985,28/02/2020,19 km após Bela Vista de Goiás - GO 020,GO
126,ADDERA D3 7.000UI CAP GEL CT 4UN,COSMED IND COSM MED S/A,B19M1143,90,39.595,35,706724,20E0180000763,11/03/2020,"BR-232, VIA LOCAL. MUNICÍPIO DE POMBOS -PERNAMBUCO - PE",PE
127,ADDERA D3 7.000UI CT BL 24X30 COMP REV,COSMED IND COSM MED S/A,B19C1146,384,265,0,706724,20E0180000763,11/03/2020,"BR-232, VIA LOCAL. MUNICÍPIO DE POMBOS -PERNAMBUCO - PE",PE
128,ADDERA D3 7.000UI CT BL 24X30 COMP REV,COSMED IND COSM MED S/A,B19C1145,264,256,0,706724,20E0180000763,11/03/2020,"BR-232, VIA LOCAL. MUNICÍPIO DE POMBOS -PERNAMBUCO - PE",PE
