23,"7192823 - TRESIBA FLEXTOUCH 100U 1X3ML",Novo Nordisk Farmacêutica do Brasil Ltda.,JP50832,194 und,NF128437,"Boletim No.: 508/2019 Dependência:DEL.POL.S.SIMAO / Boletim Complementar",15/06/2019,SÃO SIMÃO,SP
24,7193780 - SAXENDA 3 PCS,Novo Nordisk Farmacêutica do Brasil Ltda.,JP50992,1.500 und,NF128438,"Boletim No.: 508/2019 Dependência:DEL.POL.S.SIMAO / Boletim Complementar",15/06/2019,SÃO SIMÃO,SP
25,7196687 - NOVOLIN R 100UI/ML 10 ML,Novo Nordisk Farmacêutica do Brasil Ltda.,HS66Y75,50 und,NF128437,"Boletim No.: 508/2019 Dependência:DEL.POL.S.SIMAO / Boletim Complementar",15/06/2019,SÃO SIMÃO,SP
26,AAS 100MG C/100COMP-LG,EMS,0W8657,40,1476540,2019/485877,23/04/2019,CURITIBA,PR
27,AAS PROTECT 100MG X 30 CPR,SANOFI MEDLEY,9RA01760,168 CARTUCHOS,26611,2019- 017499886-001,15/04/2019,RODOVIA BR 116,
28,AAS PROTECT 100MG X 30 CPR,SANOFI MEDLEY,9RA01760,1232 CARTUCHOS,26610,2019- 017499886-001,15/04/2019,RODOVIA BR 116,
29,AAS PROTECT 100MG X 30 CPR,SANOFI MEDLEY,9RA01760,168 CARTUCHOS,26611,2019- 017499886-001,15/04/2019,RODOVIA BR 116,
30,AAS PROTECT 100MG X 30 CPR,SANOFI MEDLEY,9RA01760,1232 CARTUCHOS,26610,2019- 017499886-001,15/04/2019,RODOVIA BR 116,
31,ABC,KLEY HERTZ FARMACÊUTICA S/A,145087,2,666072,1079/2019,03/07/2019,SUMARÉ,SP
32,Abelcet,Teva,8210A,23,6275,39865984,12/07/2019,Aeroporto de Vitória,
33,ABRAXANE,CELGENE,6200625,1,17953,771/19,20/02/2019,OSASCO,SP
34,ABRETIA,CLORIDRATO DE DULOXETINA,1805094,01 UNIDADE,27504,N° 059-11891/2019,16/06/2019 E 18/06/2019,DUQUE DE CAXIAS,RJ
35,AC CLOSTEBOL+SULF NEOM CR DERM,SANOFI MEDLEY,9KP01564,90 CARTUCHOS,23383,2053/2019,27/03/2019,GUARULHOS,SP
36,AC CLOSTEBOL+SULF NEOM CR DERM,SANOFI MEDLEY,9KP01564,90 CARTUCHOS,23703,2053/2019,27/03/2019,GUARULHOS,SP
37,AC MEFENAMICO COMP 500 MG-C/24,SANOFI MEDLEY,9KP03261,462 CARTUCHOS,23472,2053/2019,27/03/2019,GUARULHOS,SP
38,AC MEFENAMICO COMP 500 MG-C/24,SANOFI MEDLEY,9KP03261,154 CARTUCHOS,23700,2053/2019,27/03/2019,GUARULHOS,SP
Ordem,Produto*,Empresa*,No Lote*,"Quantidade Roubada/ Furtada/Extraviada*",No Nota Fiscal*,No Boletim de Ocorrência*,"Data do roubo ouextravio*",Cidade,UF
39,AC.VALPROICO 250MG CAPX25 P344,BIOLAB SANUS FARMACEUTICA LTDA,1039650,96 UNID C/ 25 CAP,1825,009601-1130/2019,06/06/2019,Rio de Janeiro,RJ
40,AC.VALPROICO 250MG CAPX25 P344,BIOLAB SANUS FARMACEUTICA LTDA,1039650,336 UNIO C/ 25 CAP,1910,009601-1130/2019,06/06/2019,Rio de Janeiro,RJ
41,ACCUVIT COMREV FRX30,"ACHE LABORATORIOS FARMACÊUTICOSS.A",1902416,72 UNIDADE,1819480,2976/2019 - 803/2019,04/05/2019,GUARULHOS,SP
42,ACEBROFILINA XAROPE PEDIATRICO,SANOFI MEDLEY,841043,216 CARTUCHOS,23521,2053/2019,27/03/2019,GUARULHOS,SP
43,ACEBROFILINA XAROPE PEDIATRICO,SANOFI MEDLEY,845762,72 CARTUCHOS,23521,2053/2019,27/03/2019,GUARULHOS,SP
44,ACEBROFILINA XAROPE PEDIATRICO,SANOFI MEDLEY,845762,192 CARTUCHOS,23472,2053/2019,27/03/2019,GUARULHOS,SP
45,ACERATUM GTS 100MG 10ML 1 FRCP,CELLERA FARMACÊUTICA S.A.,6611,360 CTs,000208688-3,1343/2019,06/02/2019,ITAPEVA,MG
46,ACERATUM GTS 100MG 10ML 1 FRCP,CELLERA FARMACÊUTICA S.A.,6611,360 CTs,000208797-3,1343/2019,06/02/2019,ITAPEVA,MG
47,ACERTANLO 14MG/10MG C/30 COM,LABORATÓRIOS SERVIER DO BRASIL LTDA,258425,80,14752,039-00169/2019,10/01/2019,Rio de Janeiro,RJ
48,ACERTIL 10MG C/30 COM REV,LABORATÓRIOS SERVIER DO BRASIL LTDA,3011037,256,14752,039-00169/2019,10/01/2019,Rio de Janeiro,RJ
49,ACET HIDROCORTISONA 1% CR C/30G/TEU,DISLAB - GO,3297114,2UN,191359,1550/2019,04/10/2019,EMBU DAS ARTES,SP
50,ACETATO DE ABIRATERONA,Dr Reddy's.,H900002,30 CAIXAS,67268,904-00113/2019,03/07/2019,RIO DE JANEIRO,RJ
51,ACEVITON 1G COMD EFERV:,"CIMED INDÚSTRIA DE MEDICAMENTOSLTDA",1906950,1 unidade,313876,060-02984/2019-01,16/05/2019,DUQUE DE CAXIAS,RJ
52,ACEVITON 1G COMP EFERV CART 3 TB X 10,"CIMED INDÚSTRIA DE MEDICAMENTOSLTDA",1908896,6 unidades,326979,2019-028237260-001,15/06/2019,BRUMADINHO,MG
53,ACHEFLAN CREM BGX60G,"ACHE LABORATORIOS FARMACÊUTICOSS.A",1817130,80 UNIDADE,1820002,2976/2019 - 803/2019,04/05/2019,GUARULHOS,SP
54,ACICLOR,KLEY HERTZ FARMACÊUTICA S/A,125134,6,666101,1079/2019,03/07/2019,SUMARÉ,SP
55,ACICLOVIR 200MG C/25CPRV/SDZ,DISLAB - GO,JX5257,2UN,191359,1550/2019,04/10/2019,EMBU DAS ARTES,SP
56,ACICLOVIR COMPRIMIDO 200MG C/25,SANOFI MEDLEY,BR105144,800 CARTUCHOS,23666,2053/2019,27/03/2019,GUARULHOS,SP
57,ACICLOVIR COMPRIMIDO 200MG C/25,SANOFI MEDLEY,BR105144,1000 CARTUCHOS,23382,2053/2019,27/03/2019,GUARULHOS,SP
58,ACICLOVIR CR 10G,PRATI DONADUZZI & CIA LTDA,19A686,6,000112335-1,19E2141001099,22/03/2019,BONANÇA,PE
59,ACICLOVIR CR 10G,PRATI DONADUZZI & CIA LTDA,19F50M,10,000126690-1,19E2141003248,12.09.2019,CABO DE SANTO AGOSTINHO,
60,ACICLOVIR CR 10G,NDS DISTRIBUIDORA DE MEDICAMENTOS,19F462,2 UNIDADES,69109,130-6764/2019 e 106-7982/2019,07/08/2019,FORTALEZA,CE
61,ACICLOVIR CR 10G,PRATI DONADUZZI & CIA LTDA,19I117,6,000129991-1,19E0251000818,18/10/2019,IMBIMIRIM,PE
62,ACICLOVIR CREME 50MG/G - BG C/ 10G,SANOFI MEDLEY,9KP02574,450 CARTUCHOS,23383,2053/2019,27/03/2019,GUARULHOS,SP
63,ACICLOVIR CREME 50MG/G - BG C/ 10G,SANOFI MEDLEY,9KP02574,810 CARTUCHOS,23703,2053/2019,27/03/2019,GUARULHOS,SP
64,ACIDO ACETILS 500MG COMP 10 BL X 10,"CIMED INDÚSTRIA DE MEDICAMENTOSLTDA",1903041,2 unidades,326782,2019-028237260-001,15/06/2019,BRUMADINHO,MG
65,Actemra inj. 200mg,Roche,B2075B01,107,337941,3084/2019,13/06/2019,Pacaembu,SP
66,Actemra inj. 80mg,Roche,B2077B04,73,53319,3084/2019,13/06/2019,Pacaembu,SP
67,Actemra SC 162mg,Roche,B1104B03,7,338279,3084/2019,13/06/2019,Pacaembu,SP
68,ACTILYSE,BOFHRINGER,805685,1,363630,771/19,20/02/2019,OSASCO,SP
69,ACTONEL CHRONOS 35MG X 4 CPR REV,SANOFI MEDLEY,0000G02647,120 CARTUCHOS,23342,2053/2019,27/03/2019,GUARULHOS,SP
70,ADDERA D3 1.000UI CAP GEL CT 30UN,Cosmed Ind Cosm Med S/A,B18L2202,150 UN,000615985-3,No 10082748,23/04/2019,CRISTIANÓPOLIS,GO
71,ADDERA D3 1.000UI CAP GEL CT 30UN,COSMED IND COSM MED S/A,B18L2202,300,-,-,-,-,-
72,ADDERA D3 10.000UI CAP GEL CT BL 10UN,Cosmed Ind Cosm Med S/A,B18M0338,180 UN,000615985-3,No 10082748,23/04/2019,CRISTIANÓPOLIS,GO
73,ADDERA D3 10.000UI CAP GEL CT BL 4UN,Cosmed Ind Cosm Med S/A,B19A1950,90 UN,000615985-3,No 10082748,23/04/2019,CRISTIANÓPOLIS,GO
74,ADDERA D3 10.000UI CPRV CT BL 24X10UN,Cosmed Ind Cosm Med S/A,B18K1498,168 UN,000615985-3,No 10082748,23/04/2019,CRISTIANÓPOLIS,GO
75,ADDERA D3 10.000UI CPRV CT BL 24X4UN,Cosmed Ind Cosm Med S/A,B18E0573,168 UN,000615985-3,No 10082748,23/04/2019,CRISTIANÓPOLIS,GO
76,"ADDERA D3 10.000UI/ML GTS CT FR24X10ML",Cosmed Ind Cosm Med S/A,B18M0741,264 UN,000615990-3,No 10082748,23/04/2019,CRISTIANÓPOLIS,GO
Ordem,Produto*,Empresa*,No Lote*,"Quantidade Roubada/ Furtada/Extraviada*",No Nota Fiscal*,No Boletim de Ocorrência*,"Data do roubo ouextravio*",Cidade,UF
77,"ADDERA D3 3.300UI GTS FR VD AMB24X20ML",Cosmed Ind Cosm Med S/A,B18L1863,216 UN,000615990-3,No 10082748,23/04/2019,CRISTIANÓPOLIS,GO
78,ADDERA D3 5.000UI CAP GEL CT 30UN,COSMED IND COSM MED S/A,B18L1128,45,-,-,-,-,-
79,"ADDERA D3 5.000UI COMP REV CT BL24X30UN",Cosmed Ind Cosm Med S/A,B18K1496,48 UN,000615985-3,No 10082748,23/04/2019,CRISTIANÓPOLIS,GO
80,ADDERA D3 50.000UI COMP REV BL 24X1X4,Cosmed Ind Cosm Med S/A,B18D1544,432 UN,000615985-3,No 10082748,23/04/2019,CRISTIANÓPOLIS,GO
81,ADDERA D3 50.000UI CT BL 10 CAP GEL,COSMED IND COSM MED S/A,B18K2489,45,-,-,-,-,-
82,"ADDERA D3 50.000UI CT BL 24X10 COMPREV",COSMED IND COSM MED S/A,B18J0915,96,-,-,-,-,-
83,ADDERA D3 7.000UI CAP GEL CT 4UN,Cosmed Ind Cosm Med S/A,B18J1967,45 UN,000615985-3,No 10082748,23/04/2019,CRISTIANÓPOLIS,GO
84,ADDERA D3 7.000UI CAP GEL CT 4UN,COSMED IND COSM MED S/A,B18J1967,405,-,-,-,-,-
85,ADDERA D3 7.000UI CT BL 24X10 CPRV,COSMED IND COSM MED S/A,B18K1744,1680,-,-,-,-,-
86,ADDERA D3 7.000UI CT BL 24X30 COMP REV,Cosmed Ind Cosm Med S/A,B18J0604,432 UN,000615985-3,No 10082748,23/04/2019,CRISTIANÓPOLIS,GO
87,ADDERITOS GOMAS CT FR 12X1X30,COLBRAS IND E COM LTDA,1201318,24,-,-,-,-,-
88,ADDERITOS GOMAS CT FR 12X1X60,Colbras Ind e Com Ltda,1201317,12 UN,000615985-3,No 10082748,23/04/2019,CRISTIANÓPOLIS,GO
89,ADEFORTE,LABORATÓRIO GROSS S.A.,P19A004,"2 CAIXAS CONTENDO FRASCOCOM 15 ML",534603,NA,02/07/2019,RIO DE JANEIRO,RJ
90,ADEMIL GTS C/20ML/ANA,DISLAB - GO,034/18,3UN,176885,5256/2019,22/08/2019,DIADEMA,SP
91,ADINOS GEL CREME BGX15G,"ACHE LABORATORIOS FARMACÊUTICOSS.A",1816038,48 UNIDADE,1819472,2976/2019 - 803/2019,04/05/2019,GUARULHOS,SP
92,ADINOS GEL CREME BGX30G,"ACHE LABORATORIOS FARMACÊUTICOSS.A",1816037,72 UNIDADE,1819472,2976/2019 - 803/2019,04/05/2019,GUARULHOS,SP
93,ADIPEPT 20MG COMR BLAX28,"ACHE LABORATORIOS FARMACÊUTICOSS.A",1816140,30 UNIDADE,1820001,2976/2019 - 803/2019,04/05/2019,GUARULHOS,SP
94,ADIPEPT 40MG COMR BLAX14,"ACHE LABORATORIOS FARMACÊUTICOSS.A",1815625,48 UNIDADE,1820001,2976/2019 - 803/2019,04/05/2019,GUARULHOS,SP
95,ADIPEPT 40MG COMR BLAX28,"ACHE LABORATORIOS FARMACÊUTICOSS.A",1809953,336 UNIDADE,1820001,2976/2019 - 803/2019,04/05/2019,GUARULHOS,SP
96,ADVIL,LABORATORIOS PFIZER LT,190188,1,10054099,6997/2019,03/10/2019,CAPÃO REDONDO,SP
97,AD-VITAM,DIMASTER,100016,30 FR,196640,14155/2019,25/07/2019,INCERTO,-
98,AEROGOLD (GLENMARK),DIMASTER,KJ80237,5 FR,181364,4776/2019,16/01/2019,DESCONHECIDO,-
99,AEROGOLD (GLENMARK),DIMASTER,KJ80236,60 FR,182128,4776/2019,03/01/2019,DESCONHECIDO,-
100,AFRAT 150 MG,"CRISTÁLIA PRODUTOS QUÍMICOSFARMACÊUTICOS LTDA",14551,"7,00 CX",2226917,2019-00417701-001,26/01/2019,UBERLÂNDIA,MG
101,AFRAT 150 MG,"CRISTÁLIA PRODUTOS QUÍMICOSFARMACÊUTICOS LTDA",14553,"25,00 CX",2226927,2019-00417701-001,26/01/2019,UBERLÂNDIA,MG
102,"ÁGUA PARA INJEÇÃO 10 ML CX 200 AMPPLAST",HALEXISTAR IND. FARM. S/A,9060391,1000 UNIDADES,307573,1370818190815233001,15/08/2019,"RODOVIA BR 153, KM 575 – PROFESSORJAMIL/GO",-
103,"ÁGUA PARA INJEÇÃO 5 ML CX 200 AMPPLAST",HALEXISTAR IND. FARM. S/A,9040478,1000 UNIDADES,307573,1370818190815233001,15/08/2019,"RODOVIA BR 153, KM 575 – PROFESSORJAMIL/GO",-
104,ÁGUA PARA INJEÇÃO SF 1000 ML,HALEXISTAR IND. FARM. S/A,122308,15 UNIDADES,307573,1370818190815233001,15/08/2019,"RODOVIA BR 153, KM 575 – PROFESSORJAMIL/GO",-
105,AIXA COMP REV  C/ 21,SANOFI MEDLEY,2129380,154 CARTUCHOS,23381,2053/2019,27/03/2019,GUARULHOS,SP
106,AIXA COMP REV  C/ 63,SANOFI MEDLEY,2129400,49 CARTUCHOS,23381,2053/2019,27/03/2019,GUARULHOS,SP
107,AIXA COMP REV  C/ 63,SANOFI MEDLEY,2129400,49 CARTUCHOS,23650,2053/2019,27/03/2019,GUARULHOS,SP
108,AIXA COMP REV  C/ 63,SANOFI MEDLEY,2129370,1 CARTUCHOS,23650,2053/2019,27/03/2019,GUARULHOS,SP
109,AIXA COMP REV  C/ 63,SANOFI MEDLEY,2129370,1 CARTUCHOS,23381,2053/2019,27/03/2019,GUARULHOS,SP
110,AKINETON 2MG X 80,Laboratórios Bagó do Brasil S.A,1080849,198 unidades,26548,918-00270/2019-05,08/07/2019,Rio de Janeiro,RJ
111,AKINETON 2MG X 80,Laboratórios Bagó do Brasil S.A,1080849,198 unidades,26573,918-00270/2019-05,08/07/2019,Rio de Janeiro,RJ
112,ALBENDAZOL 400 MG (PRATI D.),DIMASTER,19F376,200 CP,196640,14155/2019,25/07/2019,INCERTO,-
113,ALBENDAZOL 400MG 1 CPS,PRATI DONADUZZI & CIA LTDA,18K038,6,000112219-1,19E2141001099,22/03/2019,BONANÇA,PE
114,ALBENDAZOL 400MG 1 CPS,PRATI DONADUZZI & CIA LTDA,18K038,20,000112291-1,19E2141001099,22/03/2019,BONANÇA,PE
Ordem,Produto*,Empresa*,No Lote*,"Quantidade Roubada/ Furtada/Extraviada*",No Nota Fiscal*,No Boletim de Ocorrência*,"Data do roubo ouextravio*",Cidade,UF
115,ALBENDAZOL 400MG 1 CPS,"PRATI, DONADUZZI E CIA LTDA",19A61F,1,339242,2019-028826948-001,07.05.2019,BELO HORIZONTE,MG
116,ALBENDAZOL 400MG 1 CPS,"PRATI, DONADUZZI E CIA LTDA",19A61F,36,338055,2019-020165472-001,30.04.2019,CACHOEIRA DE MINAS,MG
117,ALBENDAZOL 400MG 1 CPS,"PRATI, DONADUZZI E CIA LTDA",19A61F,1,339242,2019-028826948-001,07.05.2019,BELO HORIZONTE,MG
118,ALBENDAZOL 400MG 1 CPS,"PRATI, DONADUZZI E CIA LTDA",19A61F,36,338055,2019-020165472-001,30.04.2019,CACHOEIRA DE MINAS,MG
119,ALBENDAZOL 400MG 1 CPS,NDS DISTRIBUIDORA DE MEDICAMENTOS,19C91I,50 UNIDADES,69028,130-6764/2019 e 106-7982/2019,07/08/2019,FORTALEZA,CE
120,ALBENDAZOL 400MG 1 CPS,NDS DISTRIBUIDORA DE MEDICAMENTOS,19C91I,20 UNIDADES,69050,130-6764/2019 e 106-7982/2019,07/08/2019,FORTALEZA,CE
121,ALBENDAZOL 400MG 1 CPS,NDS DISTRIBUIDORA DE MEDICAMENTOS,19C91I,50 UNIDADES,69085,130-6764/2019 e 106-7982/2019,07/08/2019,FORTALEZA,CE
122,ALBENDAZOL 400MG 1 CPS,NDS DISTRIBUIDORA DE MEDICAMENTOS,19C91I,120 UNIDADES,69102,130-6764/2019 e 106-7982/2019,07/08/2019,FORTALEZA,CE
123,ALBENDAZOL 400MG 1 CPS,PRATI DONADUZZI & CIA LTDA,19F55J,60,000129991-1,19E0251000818,18/10/2019,IMBIMIRIM,PE
124,ALBENDAZOL 400MG 10X10 CPS-FRAC,NDS DISTRIBUIDORA DE MEDICAMENTOS,19C860,2 UNIDADES,69102,130-6764/2019 e 106-7982/2019,07/08/2019,FORTALEZA,CE
125,ALBENDAZOL 400MG 10X10 CPS-FRAC,NDS DISTRIBUIDORA DE MEDICAMENTOS,19C860,1 UNIDADE,69103,130-6764/2019 e 106-7982/2019,07/08/2019,FORTALEZA,CE
126,ALBENDAZOL 400MG 3 CPS,PRATI DONADUZZI & CIA LTDA,18K34B,4,000112254-1,19E2141001099,22/03/2019,BONANÇA,PE
127,ALBENDAZOL 400MG 3 CPS,PRATI DONADUZZI & CIA LTDA,18K34B,5,000112272-1,19E2141001099,22/03/2019,BONANÇA,PE
128,ALBENDAZOL 400MG 3 CPS,PRATI DONADUZZI & CIA LTDA,18K34B,4,000112291-1,19E2141001099,22/03/2019,BONANÇA,PE
129,ALBENDAZOL 400MG 3 CPS,"PRATI, DONADUZZI E CIA LTDA",18K34B,4,321134,2019-023672647-001,21.05.2019,BELO HORIZONTE,MG
130,ALBENDAZOL 400MG 3 CPS,"PRATI, DONADUZZI E CIA LTDA",19C695,12,350177,2019-028237260-001,15/06/2019,Brumadinho,MG
131,ALBENDAZOL 400MG 3 CPS,"PRATI, DONADUZZI E CIA LTDA",18K34B,4,321134,2019-023672647-001,21.05.2019,BELO HORIZONTE,MG
132,ALBENDAZOL 400MG 3 CPS,"PRATI, DONADUZZI E CIA LTDA",19C695,6,335562,-,-,BASE TRANSPORTADORA,-
133,ALBENDAZOL 400MG 3 CPS,NDS DISTRIBUIDORA DE MEDICAMENTOS,19D433,120 UNIDADES,69048,130-6764/2019 e 106-7982/2019,07/08/2019,FORTALEZA,CE
134,ALBENDAZOL 400MG 5 CPS,NDS DISTRIBUIDORA DE MEDICAMENTOS,19E837,50 UNIDADES,69102,130-6764/2019 e 106-7982/2019,07/08/2019,FORTALEZA,CE
135,ALBENDAZOL 40MG/ML SUS PL 10ML,PRATI DONADUZZI & CIA LTDA,19B870,20,000112245-1,19E2141001099,22/03/2019,BONANÇA,PE
136,ALBENDAZOL 40MG/ML SUS PL 10ML,PRATI DONADUZZI & CIA LTDA,19H218,62,000126690-1,19E2141003248,12.09.2019,CABO DE SANTO AGOSTINHO,-
137,ALBENDAZOL 40MG/ML SUS PL 10ML,"PRATI, DONADUZZI E CIA LTDA",18I24C,1,339242,2019-028826948-001,07.05.2019,BELO HORIZONTE,MG
138,ALBENDAZOL 40MG/ML SUS PL 10ML,"PRATI, DONADUZZI E CIA LTDA",18L46I,6,321134,2019-023672647-001,21.05.2019,BELO HORIZONTE,MG
139,ALBENDAZOL 40MG/ML SUS PL 10ML,"PRATI, DONADUZZI E CIA LTDA",18I24C,1,339242,2019-028826948-001,07.05.2019,BELO HORIZONTE,MG
140,ALBENDAZOL 40MG/ML SUS PL 10ML,"PRATI, DONADUZZI E CIA LTDA",18L46I,6,321134,2019-023672647-001,21.05.2019,BELO HORIZONTE,MG
141,ALBENDAZOL 40MG/ML SUSPENSÃO 10ML,NDS DISTRIBUIDORA DE MEDICAMENTOS,19G689,200 UNIDADES,69027,130-6764/2019 e 106-7982/2019,07/08/2019,FORTALEZA,CE
142,ALBENDAZOL 40MG/ML SUSPENSÃO 10ML,NDS DISTRIBUIDORA DE MEDICAMENTOS,19G689,50 UNIDADES,69028,130-6764/2019 e 106-7982/2019,07/08/2019,FORTALEZA,CE
143,ALBENDAZOL 40MG/ML SUSPENSÃO 10ML,NDS DISTRIBUIDORA DE MEDICAMENTOS,19G689,200 UNIDADES,69030,130-6764/2019 e 106-7982/2019,07/08/2019,FORTALEZA,CE
144,ALBENDAZOL 40MG/ML SUSPENSÃO 10ML,NDS DISTRIBUIDORA DE MEDICAMENTOS,19G689,12 UNIDADES,69047,130-6764/2019 e 106-7982/2019,07/08/2019,FORTALEZA,CE
145,ALBENDAZOL 40MG/ML SUSPENSÃO 10ML,NDS DISTRIBUIDORA DE MEDICAMENTOS,19G689,200 UNIDADES,69082,130-6764/2019 e 106-7982/2019,07/08/2019,FORTALEZA,CE
146,ALBENDAZOL 40MG/ML SUSPENSÃO 10ML,NDS DISTRIBUIDORA DE MEDICAMENTOS,19G689,200 UNIDADES,69084,130-6764/2019 e 106-7982/2019,07/08/2019,FORTALEZA,CE
147,ALBENDAZOL 40MG/ML SUSPENSÃO 10ML,NDS DISTRIBUIDORA DE MEDICAMENTOS,19G689,6 UNIDADES,69088,130-6764/2019 e 106-7982/2019,07/08/2019,FORTALEZA,CE
148,ALBENDAZOL 40MG/ML SUSPENSÃO 10ML,NDS DISTRIBUIDORA DE MEDICAMENTOS,19G689,20 UNIDADES,69109,130-6764/2019 e 106-7982/2019,07/08/2019,FORTALEZA,CE
149,ALBENDAZOL COMP MASTIG 400MG - 1,SANOFI MEDLEY,9KP02561,3850 CARTUCHOS,23471,2053/2019,27/03/2019,GUARULHOS,SP
150,ALBENDAZOL COMP MASTIG 400MG - 1,SANOFI MEDLEY,9KP02766,5390 CARTUCHOS,23471,2053/2019,27/03/2019,GUARULHOS,SP
151,ALBENDAZOL SUSP ORAL FR C/10ML-LG,EMS,0Y7121,500,1476540,2019/485877,23/04/2019,CURITIBA,PR
152,ALBENDAZOL SUSP ORAL FR C/10ML-LG,EMS,0Y7121,200,1475623,095-00443/2019-02,18/04/2019,Vassouras,RJ
