97,1-D OASYS -2.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,631932010500000403,1,3746343,NA,28/05/2020,CURITIBA,PR
98,1-D OASYS -2.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,399007010800000620,1,3811810,NA,15/09/2020,RIO DE JANEIRO,RJ
99,1-D OASYS -2.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,399007010800000608,1,3811810,NA,15/09/2020,RIO DE JANEIRO,RJ
100,1-D OASYS -2.25  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,563849010200004375,1,3689985,NA,14/02/2020,SALVADOR,BA
101,1-D OASYS -2.25  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,631853010800002309,1,3774239,799/2020,15/06/2020,GUARUJÁ,SP
102,1-D OASYS -2.25  (8.5) LEN CON DES,JOHNSON & JOHNSON,631694010200000053,1,3858505,NA,01/10/2020,BAURU,SP
103,1-D OASYS -2.25  (8.5) LEN CON DES,JOHNSON & JOHNSON,631098010100000259,1,3858505,NA,01/10/2020,BAURU,SP
104,1-D OASYS -2.25  (8.5) LEN CON DES,JOHNSON & JOHNSON,631690011100000583,1,3858502,NA,01/10/2020,BAURU,SP
105,1-D OASYS -2.25  (8.5) LEN CON DES,JOHNSON & JOHNSON,398978010700000747,1,3858502,NA,01/10/2020,BAURU,SP
106,1-D OASYS -2.25  (8.5) LEN CON DES,JOHNSON & JOHNSON,631928010300000534,1,3864904,NA,30/09/2020,SÃO PAULO,SP
107,1-D OASYS -2.25  (8.5) LEN CON DES,JOHNSON & JOHNSON,631928010300000445,1,3864904,NA,30/09/2020,SÃO PAULO,SP
108,1-D OASYS -2.50  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,564199010100002307,1,3774239,799/2020,15/06/2020,GUARUJÁ,SP
109,1-D OASYS -2.50  (8.5) LEN CON DES,JOHNSON & JOHNSON,399354010300000900,1,3821563-1,NA,27/08/2020,JUNDIAÍ,SP
110,1-D OASYS -2.75  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,564337010200001284,1,3689985,NA,14/02/2020,SALVADOR,BA
111,1-D OASYS -2.75  (8.5) LEN CON DES,JOHNSON & JOHNSON,564589010700000249,1,3858505,NA,01/10/2020,BAURU,SP
112,1-D OASYS -2.75  (8.5) LEN CON DES,JOHNSON & JOHNSON,564589010700000208,1,3858505,NA,01/10/2020,BAURU,SP
113,1-D OASYS -2.75  (8.5) LEN CON DES,JOHNSON & JOHNSON,564588010200000166,1,3858505,NA,01/10/2020,BAURU,SP
114,1-D OASYS -2.75  (8.5) LEN CON DES,JOHNSON & JOHNSON,564588010200000156,1,3858505,NA,01/10/2020,BAURU,SP
115,1-D OASYS -2.75  (8.5) LEN CON DES,JOHNSON & JOHNSON,564584010700000487,1,3916369,2521/2020,18/11/2020,SÃO PAULO,SP
116,1-D OASYS -2.75  (8.5) LEN CON DES,JOHNSON & JOHNSON,400117010500000675,1,3941001,2972/2020,09/12/2020,BARUERI,SP
117,1-D OASYS -2.75  (8.5) LEN CON DES,JOHNSON & JOHNSON,400117010500000728,1,3941001,2972/2020,09/12/2020,BARUERI,SP
118,1-D OASYS -2.75  (8.5) LEN CON DES,JOHNSON & JOHNSON,400117010500000675,1,3941001,2975/2020,09/12/2020,BARUERI,SP
119,1-D OASYS -2.75  (8.5) LEN CON DES,JOHNSON & JOHNSON,400117010500000728,1,3941001,2975/2020,09/12/2020,BARUERI,SP
120,1-D OASYS -3.00  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,554691010100001925,1,3774239,799/2020,15/06/2020,GUARUJÁ,SP
Ordem,Produto*,Empresa*,No de Série/ Lote*,"Quantidade Roubada/Furtada/ Extraviada*",No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade,UF
121,1-D OASYS -3.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,631973010300001482,1,3821560-1,NA,27/08/2020,JUNDIAÍ,SP
122,1-D OASYS -3.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,631973010300001502,1,3821560-1,NA,27/08/2020,JUNDIAÍ,SP
123,1-D OASYS -3.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,631973010300001227,1,3864904,NA,30/09/2020,SÃO PAULO,SP
124,1-D OASYS -3.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,631973010300001212,1,3864904,NA,30/09/2020,SÃO PAULO,SP
125,1-D OASYS -3.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,554784010200000478,1,3941001,2972/2020,09/12/2020,BARUERI,SP
126,1-D OASYS -3.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,554784010200000437,1,3941000,2972/2020,09/12/2020,BARUERI,SP
127,1-D OASYS -3.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,554784010200000478,1,3941001,2975/2020,09/12/2020,BARUERI,SP
128,1-D OASYS -3.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,554784010200000437,1,3941000,2975/2020,09/12/2020,BARUERI,SP
129,1-D OASYS -3.25  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,563776510100050962,1,3689985,NA,14/02/2020,SALVADOR,BA
130,1-D OASYS -3.25  (8.5) LEN CON DES,JOHNSON & JOHNSON,631888011000000200,1,3811810,NA,15/09/2020,RIO DE JANEIRO,RJ
131,1-D OASYS -3.25  (8.5) LEN CON DES,JOHNSON & JOHNSON,631888011000000189,1,3811810,NA,15/09/2020,RIO DE JANEIRO,RJ
132,1-D OASYS -3.50  (8.5) LEN CON DES,JOHNSON & JOHNSON,553032010400000557,1,3928134,039-07757/2020,01/12/2020,RIO DE JANEIRO,RJ
133,1-D OASYS -3.75  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,563941511100000199,1,3689985,NA,14/02/2020,SALVADOR,BA
134,1-D OASYS -3.75  (8.5) LEN CON DES,JOHNSON & JOHNSON,564299010800000196,1,3685789,NA,03/09/2020,SÃO PAULO,SP
135,1-D OASYS -4.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,564527011100000026,1,3811810,NA,15/09/2020,RIO DE JANEIRO,RJ
136,1-D OASYS -4.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,564527011100000016,1,3811810,NA,15/09/2020,RIO DE JANEIRO,RJ
137,1-D OASYS -4.25  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,563804010300003302,1,3689985,NA,14/02/2020,SALVADOR,BA
138,1-D OASYS -4.25  (8.5) LEN CON DES,JOHNSON & JOHNSON,399834010200000832,1,3863074,4545/2020,26/09/2020,SÃO PAULO,SP
139,1-D OASYS -4.25  (8.5) LEN CON DES,JOHNSON & JOHNSON,399834010200000130,1,3916369,2521/2020,18/11/2020,SÃO PAULO,SP
140,1-D OASYS -4.25  (8.5) LEN CON DES,JOHNSON & JOHNSON,399834010200000201,1,3916369,2521/2020,18/11/2020,SÃO PAULO,SP
141,1-D OASYS -4.75  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,563906010700004048,1,3689985,NA,14/02/2020,SALVADOR,BA
Ordem,Produto*,Empresa*,No de Série/ Lote*,"Quantidade Roubada/Furtada/ Extraviada*",No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade,UF
142,1-D OASYS -4.75  (8.5) LEN CON DES,JOHNSON & JOHNSON,564627010800000084,1,3863074,4545/2020,26/09/2020,SÃO PAULO,SP
143,1-D OASYS -5.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,399868010200000676,1,3864904,NA,30/09/2020,SÃO PAULO,SP
144,1-D OASYS -5.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,399868010200000655,1,3864904,NA,30/09/2020,SÃO PAULO,SP
145,1-D OASYS -5.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,399868010200000645,1,3864904,NA,30/09/2020,SÃO PAULO,SP
146,1-D OASYS -5.25  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,631187510100000806,1,3689985,NA,14/02/2020,SALVADOR,BA
147,1-D OASYS -5.25  (8.5) LEN CON DES,JOHNSON & JOHNSON,564556010100000389,1,3811810,NA,15/09/2020,RIO DE JANEIRO,RJ
148,1-D OASYS -5.25  (8.5) LEN CON DES,JOHNSON & JOHNSON,564556010100000336,1,3811810,NA,15/09/2020,RIO DE JANEIRO,RJ
149,1-D OASYS -5.75  (8.5) 5P A GRATIS,JOHNSON & JOHNSON,631230510900008181,1,3689985,NA,14/02/2020,SALVADOR,BA
150,1-D OASYS -6.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,564622010500000245,1,3864904,NA,30/09/2020,SÃO PAULO,SP
151,1-D OASYS -6.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,564622010500000235,1,3864904,NA,30/09/2020,SÃO PAULO,SP
152,1-D OASYS -6.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,564622010500000225,1,3864904,NA,30/09/2020,SÃO PAULO,SP
153,1-D OASYS -6.00  (8.5) LEN CON DES,JOHNSON & JOHNSON,564622010500000215,1,3864904,NA,30/09/2020,SÃO PAULO,SP
154,1-D OASYS -6.50  (8.5) LEN CON DES,JOHNSON & JOHNSON,399553010900000715,1,3863074,4545/2020,26/09/2020,SÃO PAULO,SP
155,1-D OASYS -7.50  (8.5) LEN CON DES,JOHNSON & JOHNSON,631961010600000557,1,3858505,NA,01/10/2020,BAURU,SP
156,1-D OASYS -7.50  (8.5) LEN CON DES,JOHNSON & JOHNSON,631964011100000557,1,3858505,NA,01/10/2020,BAURU,SP
157,1-D OASYS -7.50  (8.5) LEN CON DES,JOHNSON & JOHNSON,631964011100000568,1,3858505,NA,01/10/2020,BAURU,SP
158,1-D OASYS -7.50  (8.5) LEN CON DES,JOHNSON & JOHNSON,631961010600000547,1,3858502,NA,01/10/2020,BAURU,SP
159,1-D OASYS -8.50  (8.5) LEN CON DES,JOHNSON & JOHNSON,631867010800000085,1,3811810,NA,15/09/2020,RIO DE JANEIRO,RJ
160,1DM MULT +1.00 HIGH (8.4) 5P A GRATIS,JOHNSON & JOHNSON,160177640100000351,1,3653279,NA,13/01/2020,SÃO PAULO,SP
161,1DM MULT +1.00 HIGH (8.4) 5P A GRATIS,JOHNSON & JOHNSON,160177640100000351,1,3653279,NA,13/01/2020,SÃO PAULO,SP
162,1DM MULT +1.00 MEDIUM (8.4) 5P A GRATIS,JOHNSON & JOHNSON,180610660100002356,1,3653279,NA,13/01/2020,SÃO PAULO,SP
Ordem,Produto*,Empresa*,No de Série/ Lote*,"Quantidade Roubada/Furtada/ Extraviada*",No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade,UF
163,1DM MULT +1.00 MEDIUM (8.4) 5P A GRATIS,JOHNSON & JOHNSON,180610660100002356,1,3653279,NA,13/01/2020,SÃO PAULO,SP
164,1DM MULT +2.00 HIGH (8.4) LEN CON DES,JOHNSON & JOHNSON,151909140100000545,1,3903360,NA,15/12/2020,MANAUS,AM
165,1DM MULT +2.00 HIGH (8.4) LEN CON DES,JOHNSON & JOHNSON,151909140100000554,1,3903358,NA,15/12/2020,MANAUS,AM
166,1DM MULT +2.00 HIGH (8.4) LEN CON DES,JOHNSON & JOHNSON,151909140100000531,1,3903358,NA,15/12/2020,MANAUS,AM
167,1DM MULT +2.00 HIGH (8.4) LEN CON DES,JOHNSON & JOHNSON,161650140900000122,1,3950321,1349/2020,12/12/2020,OSASCO,SP
168,1DM MULT +2.00 HIGH (8.4) LEN CON DES,JOHNSON & JOHNSON,161535140600000310,1,3950324,1349/2020,12/12/2020,OSASCO,SP
169,1DM MULT +2.00 MEDIUM (8.4) LEN CON DES,JOHNSON & JOHNSON,181858160100000050,1,3950324,1349/2020,12/12/2020,OSASCO,SP
170,1DM MULT +2.00 MEDIUM (8.4) LEN CON DES,JOHNSON & JOHNSON,181916160200000447,1,3950324,1349/2020,12/12/2020,OSASCO,SP
171,1DM MULT +2.25 MEDIUM (8.4) LEN CON DES,JOHNSON & JOHNSON,151676140200000070,1,3903360,NA,15/12/2020,MANAUS,AM
172,1DM MULT +2.25 MEDIUM (8.4) LEN CON DES,JOHNSON & JOHNSON,160486140300000512,1,3903360,NA,15/12/2020,MANAUS,AM
